date,days,cloud_cover,humidity,pressure,global_radiation,precipitation,sunshine,temp_mean,temp_max,city,year
2000-01-26,26,7,0.61,1.0274,0.49,0.0,0.7,-4.3,-3.0,BUDAPEST,2000
2000-01-27,27,7,0.71,1.0265,0.35,0.0,0.2,1.2,2.7,BUDAPEST,2000
2000-01-28,28,2,0.55,1.0228,0.95,0.0,6.4,0.7,4.1,BUDAPEST,2000
2000-01-29,29,7,0.73,1.016,0.67,0.83,2.9,2.3,5.5,BUDAPEST,2000
2000-01-30,30,6,0.7,1.0077,0.56,0.6,3.9,6.3,8.4,BUDAPEST,2000
2000-01-31,31,6,0.74,1.0177,0.47,0.01,2.5,8.3,12.7,BUDAPEST,2000
2000-02-01,32,2,0.74,1.0244,0.88,0.0,5.8,9.6,14.0,BUDAPEST,2000
2000-02-02,33,5,0.81,1.0166,0.76,0.0,3.4,7.2,12.2,BUDAPEST,2000
2000-02-03,34,3,0.66,1.0207,0.63,0.01,5.9,7.1,10.6,BUDAPEST,2000
2000-02-04,35,1,0.58,1.035,1.09,0.0,8.8,4.1,6.2,BUDAPEST,2000
2000-02-05,36,5,0.76,1.0275,0.69,0.0,3.5,7.1,9.4,BUDAPEST,2000
2000-02-06,37,3,0.78,1.0261,0.92,0.0,5.6,9.2,14.6,BUDAPEST,2000
2000-02-07,38,8,0.98,1.0234,0.42,0.0,0.6,3.1,7.1,BUDAPEST,2000
2000-02-08,39,7,0.8,1.0161,0.76,0.38,1.9,7.8,12.3,BUDAPEST,2000
2000-02-09,40,7,0.72,1.0115,0.44,0.05,0.2,7.6,10.5,BUDAPEST,2000
2000-02-10,41,1,0.65,1.023,1.07,0.0,8.3,5.5,9.1,BUDAPEST,2000
2000-02-11,42,5,0.8,1.0259,0.76,0.0,3.2,3.5,7.6,BUDAPEST,2000
2000-02-12,43,8,0.76,1.0274,0.47,0.0,1.3,5.3,7.3,BUDAPEST,2000
2000-02-13,44,5,0.65,1.0219,0.76,0.03,5.3,6.5,9.5,BUDAPEST,2000
2000-02-14,45,3,0.71,1.0185,0.85,0.13,6.6,3.8,8.1,BUDAPEST,2000
2000-02-15,46,5,0.77,1.0205,0.87,0.08,3.0,1.9,4.3,BUDAPEST,2000
2000-02-16,47,8,0.85,1.011,0.35,0.99,0.2,3.3,5.8,BUDAPEST,2000
2000-02-17,48,6,0.77,1.0019,0.54,0.0,3.2,3.0,5.1,BUDAPEST,2000
2000-02-18,49,1,0.71,1.0102,1.3,0.0,8.9,2.0,5.1,BUDAPEST,2000
2000-02-19,50,7,0.8,1.0082,0.65,0.02,1.8,2.0,4.9,BUDAPEST,2000
2000-02-20,51,7,0.87,1.0129,0.38,0.0,1.0,3.0,5.7,BUDAPEST,2000
2000-02-21,52,4,0.67,1.022,0.75,0.0,3.9,1.4,4.2,BUDAPEST,2000
2000-02-22,53,2,0.63,1.0264,0.99,0.0,5.4,-0.1,3.4,BUDAPEST,2000
2000-02-23,54,6,0.74,1.0266,0.8,0.0,1.0,0.1,3.4,BUDAPEST,2000
2000-02-24,55,7,0.81,1.0283,0.61,0.0,0.8,1.9,4.3,BUDAPEST,2000
2000-02-25,56,7,0.69,1.0218,0.57,0.0,0.3,5.7,10.3,BUDAPEST,2000
2000-02-26,57,1,0.63,1.0289,1.4,0.0,9.2,4.8,10.7,BUDAPEST,2000
2000-02-27,58,1,0.58,1.0326,1.5,0.0,9.2,5.2,9.5,BUDAPEST,2000
2000-02-28,59,1,0.6,1.035,1.61,0.0,9.8,4.8,9.8,BUDAPEST,2000
2000-02-29,60,0,0.53,1.0266,1.58,0.0,9.2,5.9,12.1,BUDAPEST,2000
2000-03-01,61,8,0.66,1.0101,0.42,1.11,0.0,7.5,11.0,BUDAPEST,2000
2000-03-02,62,7,0.78,1.0101,0.48,0.35,0.7,5.4,8.4,BUDAPEST,2000
2000-03-03,63,4,0.62,1.0178,1.34,0.01,6.7,5.0,9.0,BUDAPEST,2000
2000-03-04,64,7,0.65,1.0114,0.67,0.0,1.0,5.6,8.7,BUDAPEST,2000
2000-03-05,65,4,0.64,1.0239,1.62,0.01,9.3,1.7,4.9,BUDAPEST,2000
2000-03-06,66,4,0.61,1.0315,1.19,0.0,7.4,3.2,6.6,BUDAPEST,2000
2000-03-07,67,1,0.47,1.0246,1.75,0.04,9.7,7.5,13.2,BUDAPEST,2000
2000-03-08,68,7,0.65,1.02,0.89,0.2,3.0,10.8,13.5,BUDAPEST,2000
2000-03-09,69,6,0.73,1.0122,0.57,0.78,1.7,12.6,16.8,BUDAPEST,2000
2000-03-10,70,2,0.57,1.0166,1.59,0.0,9.3,6.2,12.6,BUDAPEST,2000
2000-03-11,71,8,0.77,1.0181,0.36,0.4,0.0,3.1,5.6,BUDAPEST,2000
2000-03-12,72,3,0.66,1.0187,1.12,0.0,5.6,7.2,9.4,BUDAPEST,2000
2000-03-13,73,7,0.59,1.0284,0.93,0.0,2.0,4.8,7.5,BUDAPEST,2000
2000-03-14,74,7,0.62,1.0226,0.8,0.26,1.8,7.6,10.4,BUDAPEST,2000
2000-03-15,75,5,0.6,1.015,1.42,0.01,5.7,6.2,9.9,BUDAPEST,2000
2000-03-16,76,6,0.78,1.0166,0.58,0.56,1.9,1.4,4.0,BUDAPEST,2000
2000-03-17,77,6,0.77,1.0166,0.63,0.21,0.3,0.6,2.1,BUDAPEST,2000
2000-03-18,78,6,0.75,1.017,1.52,0.01,6.9,1.5,5.0,BUDAPEST,2000
2000-03-19,79,5,0.73,1.0213,0.99,0.02,1.4,1.7,5.4,BUDAPEST,2000
2000-03-20,80,6,0.6,1.0226,1.68,0.0,6.2,3.1,6.7,BUDAPEST,2000
2000-03-21,81,4,0.65,1.021,1.93,0.0,7.7,5.6,8.3,BUDAPEST,2000
2000-03-22,82,7,0.66,1.0209,1.22,0.0,3.3,9.8,14.1,BUDAPEST,2000
2000-03-23,83,2,0.59,1.0169,1.94,0.0,8.9,10.5,16.9,BUDAPEST,2000
2000-03-24,84,7,0.65,1.0135,1.19,0.0,1.9,10.2,15.0,BUDAPEST,2000
2000-03-25,85,7,0.63,1.0169,0.49,0.01,0.0,8.8,12.6,BUDAPEST,2000
2000-03-26,86,5,0.73,1.0153,1.57,0.06,4.6,10.3,16.1,BUDAPEST,2000
2000-03-27,87,7,0.9,1.0073,0.67,0.64,1.2,10.7,14.3,BUDAPEST,2000
2000-03-28,88,5,0.65,1.0099,1.68,0.0,8.0,11.2,15.6,BUDAPEST,2000
2000-03-29,89,8,0.74,1.0137,1.24,0.12,2.2,11.4,15.1,BUDAPEST,2000
2000-03-30,90,4,0.68,1.0083,1.42,0.49,6.9,10.1,14.1,BUDAPEST,2000
2000-03-31,91,5,0.7,1.0091,1.71,0.01,6.7,8.3,11.4,BUDAPEST,2000
2000-04-01,92,7,0.71,1.0057,1.33,0.96,3.6,9.6,15.1,BUDAPEST,2000
2000-04-02,93,5,0.79,1.0046,1.19,0.03,6.0,10.2,14.2,BUDAPEST,2000
2000-04-03,94,7,0.72,1.0066,1.03,0.05,3.3,11.4,15.4,BUDAPEST,2000
2000-04-04,95,7,0.74,0.9999,1.36,2.13,3.3,13.4,17.9,BUDAPEST,2000
2000-04-05,96,8,0.95,0.9926,0.2,2.66,0.0,11.5,16.0,BUDAPEST,2000
2000-04-06,97,6,0.58,1.0082,1.93,0.0,6.5,6.4,11.0,BUDAPEST,2000
2000-04-07,98,5,0.47,1.0212,2.3,0.0,8.7,6.8,11.1,BUDAPEST,2000
2000-04-08,99,4,0.56,1.0201,2.38,0.0,9.5,6.6,10.5,BUDAPEST,2000
2000-04-09,100,4,0.54,1.0199,2.58,0.0,9.8,5.9,10.9,BUDAPEST,2000
2000-04-10,101,7,0.48,1.0141,1.91,0.0,4.5,8.7,12.8,BUDAPEST,2000
2000-04-11,102,6,0.59,1.0055,1.79,0.1,1.2,10.9,14.6,BUDAPEST,2000
2000-04-12,103,7,0.72,1.001,1.23,0.03,4.2,12.0,18.1,BUDAPEST,2000
2000-04-13,104,5,0.63,1.0052,1.81,0.48,5.4,13.3,18.0,BUDAPEST,2000
2000-04-14,105,5,0.53,1.007,2.11,0.0,9.2,15.7,20.2,BUDAPEST,2000
2000-04-15,106,4,0.58,1.0046,1.82,0.44,8.0,16.6,22.4,BUDAPEST,2000
2000-04-16,107,2,0.62,1.0071,2.44,0.0,8.5,14.2,18.1,BUDAPEST,2000
2000-04-17,108,4,0.52,1.0076,2.22,0.0,8.6,17.4,24.2,BUDAPEST,2000
2000-04-18,109,5,0.54,1.0067,2.27,0.0,8.4,19.3,26.6,BUDAPEST,2000
2000-04-19,110,1,0.47,1.0058,2.5,0.0,11.0,20.2,26.4,BUDAPEST,2000
2000-04-20,111,6,0.45,1.0097,2.39,0.0,9.8,20.7,26.4,BUDAPEST,2000
2000-04-21,112,1,0.41,1.0126,2.61,0.0,11.4,22.0,26.9,BUDAPEST,2000
2000-04-22,113,1,0.46,1.0148,2.61,0.0,11.9,20.8,27.2,BUDAPEST,2000
2000-04-23,114,0,0.46,1.0138,2.73,0.0,12.3,20.7,26.9,BUDAPEST,2000
2000-04-24,115,1,0.44,1.0068,2.71,0.0,11.7,20.4,26.2,BUDAPEST,2000
2000-04-25,116,8,0.81,1.0087,0.8,0.29,0.8,15.5,23.9,BUDAPEST,2000
2000-04-26,117,6,0.81,1.0134,1.18,0.0,6.5,16.5,21.8,BUDAPEST,2000
2000-04-27,118,3,0.71,1.0163,2.63,0.0,10.4,18.1,23.8,BUDAPEST,2000
2000-04-28,119,2,0.66,1.0164,2.31,0.0,11.9,18.9,24.1,BUDAPEST,2000
2000-04-29,120,1,0.54,1.017,2.77,0.0,10.7,20.6,26.8,BUDAPEST,2000
2000-04-30,121,3,0.55,1.0192,2.31,0.0,7.8,20.4,26.6,BUDAPEST,2000
2000-05-01,122,5,0.7,1.0156,1.8,1.01,6.4,18.8,25.2,BUDAPEST,2000
2000-05-02,123,1,0.43,1.0151,2.98,0.0,12.5,18.5,23.5,BUDAPEST,2000
2000-05-03,124,4,0.48,1.0213,2.76,0.0,10.7,13.9,19.2,BUDAPEST,2000
2000-05-04,125,3,0.52,1.0205,2.92,0.0,11.6,15.5,20.8,BUDAPEST,2000
2000-05-05,126,3,0.49,1.0184,2.81,0.0,12.0,17.2,23.0,BUDAPEST,2000
2000-05-06,127,0,0.44,1.0174,3.02,0.0,12.7,18.5,24.9,BUDAPEST,2000
2000-05-07,128,0,0.45,1.0184,3.04,0.0,12.7,20.1,26.8,BUDAPEST,2000
2000-05-08,129,6,0.51,1.0195,2.37,0.0,7.1,20.7,27.6,BUDAPEST,2000
2000-05-09,130,5,0.63,1.0195,2.67,0.0,10.0,20.1,24.9,BUDAPEST,2000
2000-05-10,131,2,0.61,1.017,2.97,0.0,11.9,21.5,28.2,BUDAPEST,2000
2000-05-11,132,3,0.56,1.0141,2.53,0.0,11.7,22.9,30.0,BUDAPEST,2000
2000-05-12,133,3,0.53,1.0144,2.77,0.0,11.0,22.1,29.0,BUDAPEST,2000
2000-05-13,134,1,0.37,1.0218,3.1,0.0,11.2,16.3,22.2,BUDAPEST,2000
2000-05-14,135,1,0.44,1.0234,3.13,0.0,13.0,17.6,24.1,BUDAPEST,2000
2000-05-15,136,1,0.44,1.0226,2.77,0.0,12.7,20.4,27.1,BUDAPEST,2000
2000-05-16,137,1,0.43,1.0194,3.07,0.0,13.0,22.1,28.5,BUDAPEST,2000
2000-05-17,138,1,0.4,1.015,3.16,0.0,13.0,23.2,28.8,BUDAPEST,2000
2000-05-18,139,2,0.43,1.009,3.06,0.0,11.9,23.0,28.4,BUDAPEST,2000
2000-05-19,140,5,0.74,1.0069,2.45,0.24,7.6,16.0,25.5,BUDAPEST,2000
2000-05-20,141,6,0.71,1.0086,2.04,0.01,7.0,13.3,17.9,BUDAPEST,2000
2000-05-21,142,3,0.58,1.0114,2.78,0.0,9.8,13.5,18.8,BUDAPEST,2000
2000-05-22,143,5,0.77,1.0122,1.31,0.99,6.4,12.4,18.7,BUDAPEST,2000
2000-05-23,144,5,0.71,1.0168,1.69,0.0,6.4,14.6,19.5,BUDAPEST,2000
2000-05-24,145,2,0.61,1.0189,3.18,0.0,11.9,17.4,22.8,BUDAPEST,2000
2000-05-25,146,3,0.55,1.0173,3.13,0.0,11.8,19.7,25.6,BUDAPEST,2000
2000-05-26,147,2,0.51,1.0173,3.22,0.0,13.1,21.9,28.5,BUDAPEST,2000
2000-05-27,148,0,0.48,1.0147,3.27,0.0,13.1,23.8,30.5,BUDAPEST,2000
2000-05-28,149,4,0.53,1.0125,3.13,0.0,12.0,24.1,30.2,BUDAPEST,2000
2000-05-29,150,7,0.7,1.0109,1.11,0.05,0.7,16.3,26.7,BUDAPEST,2000
2000-05-30,151,4,0.52,1.0167,3.14,0.0,11.3,15.0,19.0,BUDAPEST,2000
2000-05-31,152,7,0.72,1.0146,1.01,0.09,0.6,14.6,17.9,BUDAPEST,2000
2000-06-01,153,4,0.56,1.0228,3.0,0.0,11.1,16.0,21.0,BUDAPEST,2000
2000-06-02,154,2,0.51,1.0256,3.31,0.0,13.0,17.7,23.5,BUDAPEST,2000
2000-06-03,155,0,0.47,1.0217,3.41,0.0,12.6,20.7,27.7,BUDAPEST,2000
2000-06-04,156,1,0.44,1.0192,3.39,0.0,13.6,23.1,30.0,BUDAPEST,2000
2000-06-05,157,1,0.43,1.0169,3.3,0.0,13.3,25.1,31.5,BUDAPEST,2000
2000-06-06,158,3,0.52,1.0113,3.15,0.0,12.3,25.2,31.3,BUDAPEST,2000
2000-06-07,159,5,0.61,1.0148,2.74,0.0,6.1,18.8,27.4,BUDAPEST,2000
2000-06-08,160,2,0.47,1.0216,3.43,0.0,14.1,18.7,24.1,BUDAPEST,2000
2000-06-09,161,0,0.44,1.0206,3.35,0.0,13.9,21.7,28.8,BUDAPEST,2000
2000-06-10,162,0,0.4,1.0176,3.39,0.0,13.7,24.2,30.3,BUDAPEST,2000
2000-06-11,163,1,0.43,1.0168,3.2,0.0,13.3,26.3,32.2,BUDAPEST,2000
2000-06-12,164,0,0.41,1.0198,3.13,0.0,13.4,27.5,33.3,BUDAPEST,2000
2000-06-13,165,2,0.51,1.0226,3.03,0.0,10.0,28.2,34.3,BUDAPEST,2000
2000-06-14,166,3,0.47,1.0183,2.8,0.0,9.8,28.8,34.9,BUDAPEST,2000
2000-06-15,167,3,0.58,1.0158,3.11,0.0,11.5,24.2,31.6,BUDAPEST,2000
2000-06-16,168,4,0.5,1.0176,2.63,0.0,12.3,18.1,24.4,BUDAPEST,2000
2000-06-17,169,2,0.43,1.024,3.08,0.0,9.6,15.4,19.0,BUDAPEST,2000
2000-06-18,170,5,0.39,1.0277,3.06,0.0,13.0,17.8,21.9,BUDAPEST,2000
2000-06-19,171,1,0.4,1.0264,3.39,0.0,13.5,19.5,25.2,BUDAPEST,2000
2000-06-20,172,1,0.4,1.0202,3.18,0.0,13.5,23.9,30.5,BUDAPEST,2000
2000-06-21,173,1,0.38,1.0153,3.32,0.0,14.2,26.3,33.4,BUDAPEST,2000
2000-06-22,174,0,0.34,1.0135,3.25,0.0,14.3,29.0,35.2,BUDAPEST,2000
2000-06-23,175,1,0.41,1.0125,3.27,0.0,12.9,27.2,34.2,BUDAPEST,2000
2000-06-24,176,4,0.53,1.0121,2.84,0.21,8.8,21.7,25.9,BUDAPEST,2000
2000-06-25,177,8,0.77,1.0111,0.6,0.26,0.9,16.2,23.0,BUDAPEST,2000
2000-06-26,178,3,0.61,1.0162,3.0,0.0,12.3,16.7,22.0,BUDAPEST,2000
2000-06-27,179,2,0.48,1.0183,2.84,0.0,12.6,16.1,20.0,BUDAPEST,2000
2000-06-28,180,5,0.4,1.0151,3.0,0.0,10.9,18.4,23.4,BUDAPEST,2000
2000-06-29,181,1,0.37,1.0139,3.19,0.0,12.7,19.4,23.0,BUDAPEST,2000
2000-06-30,182,4,0.47,1.0151,2.87,0.28,11.2,18.7,23.2,BUDAPEST,2000
2000-07-01,183,3,0.6,1.013,3.12,0.0,10.5,21.9,28.6,BUDAPEST,2000
2000-07-02,184,4,0.51,1.0124,3.03,0.0,10.0,25.0,30.0,BUDAPEST,2000
2000-07-03,185,4,0.56,1.0102,2.95,0.2,11.2,26.1,33.0,BUDAPEST,2000
2000-07-04,186,4,0.58,1.0078,2.28,0.0,7.3,26.2,33.5,BUDAPEST,2000
2000-07-05,187,3,0.53,1.0121,2.95,0.0,9.2,23.3,27.3,BUDAPEST,2000
2000-07-06,188,4,0.41,1.0164,2.94,0.0,11.9,23.8,27.7,BUDAPEST,2000
2000-07-07,189,5,0.5,1.0128,2.53,0.15,7.5,23.7,30.1,BUDAPEST,2000
2000-07-08,190,7,0.67,1.0051,2.95,0.02,7.9,21.4,29.2,BUDAPEST,2000
2000-07-09,191,6,0.79,1.006,0.91,0.24,1.9,14.2,23.5,BUDAPEST,2000
2000-07-10,192,2,0.53,1.0054,3.33,0.0,12.8,20.1,26.5,BUDAPEST,2000
2000-07-11,193,7,0.66,1.0019,1.46,0.27,2.4,20.4,26.6,BUDAPEST,2000
2000-07-12,194,5,0.74,1.0067,2.36,0.12,8.3,17.3,21.0,BUDAPEST,2000
2000-07-13,195,5,0.54,1.01,2.37,0.0,8.7,17.0,20.9,BUDAPEST,2000
2000-07-14,196,5,0.54,1.0072,2.09,0.06,7.1,17.7,22.6,BUDAPEST,2000
2000-07-15,197,8,0.86,1.0037,0.72,1.89,0.0,15.1,20.3,BUDAPEST,2000
2000-07-16,198,7,0.88,1.0047,0.81,0.0,0.3,14.0,15.4,BUDAPEST,2000
2000-07-17,199,6,0.72,1.0114,1.63,0.0,2.9,16.0,18.6,BUDAPEST,2000
2000-07-18,200,5,0.69,1.0155,2.67,0.0,4.2,17.2,22.4,BUDAPEST,2000
2000-07-19,201,5,0.57,1.0142,2.55,0.0,8.9,19.0,22.9,BUDAPEST,2000
2000-07-20,202,3,0.62,1.0147,2.88,0.0,11.5,18.0,22.0,BUDAPEST,2000
2000-07-21,203,4,0.53,1.0164,2.71,0.0,11.6,19.3,23.9,BUDAPEST,2000
2000-07-22,204,7,0.59,1.0164,2.19,0.0,6.2,19.8,23.8,BUDAPEST,2000
2000-07-23,205,5,0.6,1.0145,2.67,0.0,9.1,21.7,28.0,BUDAPEST,2000
2000-07-24,206,7,0.65,1.0106,2.05,0.0,5.3,22.5,28.3,BUDAPEST,2000
2000-07-25,207,4,0.52,1.0076,2.47,0.0,9.2,24.8,29.4,BUDAPEST,2000
2000-07-26,208,5,0.67,1.0078,2.43,0.0,6.3,22.8,30.9,BUDAPEST,2000
2000-07-27,209,3,0.61,1.0137,2.78,0.0,11.9,21.8,25.6,BUDAPEST,2000
2000-07-28,210,8,0.66,1.0111,2.35,1.39,5.0,21.6,27.9,BUDAPEST,2000
2000-07-29,211,6,0.74,1.0095,1.74,0.0,7.6,18.4,22.6,BUDAPEST,2000
2000-07-30,212,4,0.66,1.0154,2.84,0.0,9.1,19.2,23.2,BUDAPEST,2000
2000-07-31,213,4,0.65,1.02,2.71,0.0,10.0,19.8,24.6,BUDAPEST,2000
2000-08-01,214,2,0.55,1.0218,2.88,0.0,12.2,21.0,26.6,BUDAPEST,2000
2000-08-02,215,0,0.54,1.02,2.97,0.0,12.8,23.3,29.7,BUDAPEST,2000
2000-08-03,216,3,0.6,1.0174,2.47,0.0,7.5,24.1,28.8,BUDAPEST,2000
2000-08-04,217,1,0.65,1.0162,2.79,0.0,10.7,23.3,27.9,BUDAPEST,2000
2000-08-05,218,7,0.67,1.0175,1.59,0.0,5.0,22.5,25.9,BUDAPEST,2000
2000-08-06,219,6,0.62,1.0136,2.3,0.2,7.1,24.4,31.1,BUDAPEST,2000
2000-08-07,220,6,0.74,1.0141,2.01,0.0,6.1,21.3,26.3,BUDAPEST,2000
2000-08-08,221,3,0.56,1.0171,2.76,0.0,12.1,21.1,25.1,BUDAPEST,2000
2000-08-09,222,4,0.56,1.0189,2.17,0.0,7.1,21.8,27.0,BUDAPEST,2000
2000-08-10,223,2,0.53,1.0182,2.57,0.0,10.4,22.7,28.3,BUDAPEST,2000
2000-08-11,224,3,0.53,1.015,2.21,0.0,8.9,23.7,29.1,BUDAPEST,2000
2000-08-12,225,3,0.51,1.0131,2.66,0.0,10.4,25.6,33.7,BUDAPEST,2000
2000-08-13,226,4,0.46,1.0156,2.71,0.0,10.6,27.0,32.9,BUDAPEST,2000
2000-08-14,227,5,0.53,1.018,1.99,0.0,5.6,25.6,30.6,BUDAPEST,2000
2000-08-15,228,2,0.53,1.0183,2.52,0.0,11.0,25.4,31.2,BUDAPEST,2000
2000-08-16,229,1,0.5,1.016,2.57,0.0,11.1,26.0,33.3,BUDAPEST,2000
2000-08-17,230,1,0.45,1.0143,2.52,0.0,10.6,27.7,33.6,BUDAPEST,2000
2000-08-18,231,1,0.4,1.0148,2.55,0.0,11.7,29.0,35.1,BUDAPEST,2000
2000-08-19,232,0,0.38,1.0163,2.51,0.0,11.2,29.5,36.7,BUDAPEST,2000
2000-08-20,233,0,0.39,1.0141,2.56,0.0,11.5,29.3,36.9,BUDAPEST,2000
2000-08-21,234,0,0.43,1.0118,2.59,0.0,11.4,29.1,36.4,BUDAPEST,2000
2000-08-22,235,1,0.45,1.0138,2.46,0.0,11.1,26.6,31.6,BUDAPEST,2000
2000-08-23,236,2,0.44,1.0172,2.34,0.0,11.1,25.2,31.7,BUDAPEST,2000
2000-08-24,237,1,0.43,1.0204,2.57,0.0,11.2,21.4,27.1,BUDAPEST,2000
2000-08-25,238,3,0.44,1.0158,2.46,0.0,10.1,20.9,24.3,BUDAPEST,2000
2000-08-26,239,3,0.46,1.0182,2.09,0.0,10.6,18.5,23.1,BUDAPEST,2000
2000-08-27,240,3,0.48,1.0188,2.09,0.0,10.6,19.2,23.7,BUDAPEST,2000
2000-08-28,241,6,0.54,1.0183,1.95,0.0,7.8,20.2,25.3,BUDAPEST,2000
2000-08-29,242,5,0.59,1.0176,2.29,0.0,6.5,21.1,27.4,BUDAPEST,2000
2000-08-30,243,2,0.52,1.0159,2.2,0.05,10.0,21.7,27.4,BUDAPEST,2000
2000-08-31,244,8,0.79,1.0114,0.75,0.16,0.0,18.4,23.3,BUDAPEST,2000
2000-09-01,245,7,0.87,1.0058,0.62,0.26,2.0,17.9,21.2,BUDAPEST,2000
2000-09-02,246,2,0.75,1.0072,2.09,0.74,7.7,18.3,25.0,BUDAPEST,2000
2000-09-03,247,4,0.67,1.0084,2.1,0.0,9.4,17.3,21.4,BUDAPEST,2000
2000-09-04,248,4,0.62,1.0124,1.9,0.0,7.2,16.8,21.0,BUDAPEST,2000
2000-09-05,249,5,0.6,1.0155,1.99,0.0,8.6,14.8,18.6,BUDAPEST,2000
2000-09-06,250,3,0.55,1.0162,2.0,0.0,10.0,14.7,19.2,BUDAPEST,2000
2000-09-07,251,8,0.84,1.0121,0.58,0.15,0.0,12.4,16.1,BUDAPEST,2000
2000-09-08,252,4,0.67,1.0201,2.25,0.0,9.4,15.4,21.5,BUDAPEST,2000
2000-09-09,253,1,0.6,1.0263,2.22,0.0,10.3,16.7,23.7,BUDAPEST,2000
2000-09-10,254,1,0.56,1.0237,2.25,0.0,10.5,17.8,26.1,BUDAPEST,2000
2000-09-11,255,3,0.53,1.0167,1.99,0.0,8.5,19.3,26.5,BUDAPEST,2000
2000-09-12,256,1,0.58,1.0152,1.97,0.0,8.9,20.9,27.1,BUDAPEST,2000
2000-09-13,257,4,0.57,1.0143,1.9,0.0,6.6,21.1,27.4,BUDAPEST,2000
2000-09-14,258,7,0.6,1.0137,1.43,0.0,5.5,21.5,25.5,BUDAPEST,2000
2000-09-15,259,2,0.56,1.0164,1.98,0.0,10.3,19.4,24.7,BUDAPEST,2000
2000-09-16,260,8,0.58,1.015,0.92,0.63,1.1,15.8,19.9,BUDAPEST,2000
2000-09-17,261,6,0.73,1.0095,1.25,0.0,5.3,15.8,19.5,BUDAPEST,2000
2000-09-18,262,4,0.7,1.0108,1.79,0.0,8.3,16.3,20.2,BUDAPEST,2000
2000-09-19,263,5,0.69,1.0119,1.46,0.11,4.6,14.8,19.4,BUDAPEST,2000
2000-09-20,264,8,0.89,1.0108,1.24,0.0,1.8,15.2,19.1,BUDAPEST,2000
2000-09-21,265,7,0.76,1.011,0.87,0.13,1.4,16.2,18.4,BUDAPEST,2000
2000-09-22,266,7,0.82,1.0165,1.17,0.0,2.2,14.4,16.8,BUDAPEST,2000
2000-09-23,267,8,0.87,1.0236,0.35,0.17,0.0,12.4,14.4,BUDAPEST,2000
2000-09-24,268,8,0.77,1.0249,0.92,0.0,1.5,12.8,15.6,BUDAPEST,2000
2000-09-25,269,8,0.85,1.025,0.66,0.0,0.0,13.6,15.3,BUDAPEST,2000
2000-09-26,270,3,0.75,1.0251,1.55,0.0,7.1,14.1,19.8,BUDAPEST,2000
2000-09-27,271,3,0.69,1.0237,1.8,0.0,9.7,14.3,20.8,BUDAPEST,2000
2000-09-28,272,5,0.65,1.0198,1.41,0.0,5.9,14.3,20.1,BUDAPEST,2000
