date,days,cloud_cover,humidity,pressure,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max,city,year,month
2000-01-24,24,5,0.8,1.0254,0.61,0.0,6.0,3.1,0.4,3.7,HEATHROW,2000,1
2000-01-25,25,6,0.91,1.0294,0.28,0.0,0.8,0.5,-2.7,6.1,HEATHROW,2000,1
2000-01-26,26,3,0.85,1.0327,0.68,0.0,7.2,3.2,0.2,5.2,HEATHROW,2000,1
2000-01-27,27,0,0.84,1.0297,0.74,0.0,8.1,0.8,-3.5,10.8,HEATHROW,2000,1
2000-01-28,28,7,0.82,1.0148,0.2,0.22,0.1,4.5,-1.8,13.5,HEATHROW,2000,1
2000-01-29,29,7,0.82,1.0003,0.49,0.0,3.3,8.4,3.4,12.9,HEATHROW,2000,1
2000-01-30,30,7,0.77,1.0129,0.24,0.0,0.3,11.6,10.4,12.7,HEATHROW,2000,1
2000-01-31,31,7,0.77,1.0201,0.25,0.0,0.3,11.5,10.3,10.7,HEATHROW,2000,1
2000-02-01,32,8,0.85,1.0152,0.19,0.98,0.0,9.9,9.1,10.6,HEATHROW,2000,2
2000-02-02,33,4,0.75,1.0211,0.74,0.0,6.9,8.2,5.8,9.3,HEATHROW,2000,2
2000-02-03,34,7,0.85,1.0332,0.28,0.0,0.5,6.0,2.7,11.0,HEATHROW,2000,2
2000-02-04,35,7,0.86,1.0319,0.2,0.0,0.0,7.8,4.7,11.6,HEATHROW,2000,2
2000-02-05,36,7,0.8,1.0263,0.42,0.0,1.8,9.4,7.3,12.1,HEATHROW,2000,2
2000-02-06,37,8,0.88,1.0159,0.24,0.18,0.1,9.6,7.2,11.0,HEATHROW,2000,2
2000-02-07,38,6,0.81,1.0104,0.21,0.38,0.0,8.0,5.0,13.8,HEATHROW,2000,2
2000-02-08,39,5,0.73,1.0061,0.59,0.22,3.6,10.4,7.0,10.6,HEATHROW,2000,2
2000-02-09,40,5,0.68,1.0222,0.52,0.06,2.6,6.8,2.9,10.1,HEATHROW,2000,2
2000-02-10,41,5,0.71,1.0155,0.48,0.3,2.0,8.0,5.9,10.4,HEATHROW,2000,2
2000-02-11,42,3,0.76,1.0272,0.8,0.38,6.2,5.2,-0.1,9.6,HEATHROW,2000,2
2000-02-12,43,6,0.75,1.0178,0.61,0.08,3.4,6.4,3.2,9.9,HEATHROW,2000,2
2000-02-13,44,3,0.69,1.0202,0.97,0.0,8.5,7.4,4.8,10.2,HEATHROW,2000,2
2000-02-14,45,5,0.9,1.0195,0.43,0.18,1.2,4.6,-1.1,8.6,HEATHROW,2000,2
2000-02-15,46,6,0.82,1.0132,0.53,0.12,2.2,5.4,2.3,8.0,HEATHROW,2000,2
2000-02-16,47,3,0.68,1.0043,0.97,0.0,7.8,4.7,1.4,9.6,HEATHROW,2000,2
2000-02-17,48,6,0.71,1.0105,0.94,0.22,7.2,6.0,2.3,11.0,HEATHROW,2000,2
2000-02-18,49,6,0.77,1.0028,0.68,0.02,3.5,7.0,3.1,9.1,HEATHROW,2000,2
2000-02-19,50,5,0.74,1.0153,0.82,0.02,5.2,7.6,6.1,8.7,HEATHROW,2000,2
2000-02-20,51,4,0.77,1.0296,1.05,0.06,8.2,3.8,-1.0,10.0,HEATHROW,2000,2
2000-02-21,52,6,0.76,1.0266,0.9,0.0,5.9,5.8,1.5,9.5,HEATHROW,2000,2
2000-02-22,53,6,0.78,1.0238,0.73,0.0,3.7,4.6,-0.3,11.7,HEATHROW,2000,2
2000-02-23,54,8,0.89,1.0205,0.32,0.0,0.1,7.8,3.9,11.2,HEATHROW,2000,2
2000-02-24,55,8,0.79,1.0204,0.54,1.68,1.5,9.4,7.6,10.0,HEATHROW,2000,2
2000-02-25,56,2,0.75,1.0275,1.21,0.0,9.3,6.1,2.2,10.6,HEATHROW,2000,2
2000-02-26,57,6,0.74,1.0287,1.01,0.0,6.4,5.2,-0.3,13.0,HEATHROW,2000,2
2000-02-27,58,8,0.8,1.0156,0.31,0.52,0.0,8.6,4.2,10.4,HEATHROW,2000,2
2000-02-28,59,5,0.75,1.0098,0.88,0.26,4.6,8.6,6.8,10.1,HEATHROW,2000,2
2000-02-29,60,7,0.85,1.0008,0.35,0.56,0.1,7.8,5.5,9.3,HEATHROW,2000,2
2000-03-01,61,3,0.69,1.0099,1.21,0.02,6.9,5.4,1.6,11.2,HEATHROW,2000,3
2000-03-02,62,7,0.79,1.0164,0.4,0.72,0.1,5.8,0.3,10.8,HEATHROW,2000,3
2000-03-03,63,6,0.71,1.0074,1.15,0.02,5.9,8.0,5.2,7.8,HEATHROW,2000,3
2000-03-04,64,3,0.6,1.0271,1.45,0.0,9.1,4.3,0.8,10.4,HEATHROW,2000,3
2000-03-05,65,6,0.69,1.0322,1.19,0.0,6.0,5.0,-0.3,11.5,HEATHROW,2000,3
2000-03-06,66,8,0.8,1.0267,0.38,0.0,0.0,8.2,4.9,13.8,HEATHROW,2000,3
2000-03-07,67,7,0.79,1.0236,0.76,0.0,2.0,11.0,8.2,14.6,HEATHROW,2000,3
2000-03-08,68,7,0.81,1.0225,0.39,0.0,0.0,12.4,10.3,16.6,HEATHROW,2000,3
2000-03-09,69,7,0.73,1.0254,0.93,0.0,3.1,13.9,11.2,14.2,HEATHROW,2000,3
2000-03-10,70,7,0.78,1.0265,0.89,0.0,2.7,12.5,10.8,13.6,HEATHROW,2000,3
2000-03-11,71,7,0.69,1.0224,1.25,0.0,5.7,10.5,7.4,14.5,HEATHROW,2000,3
2000-03-12,72,5,0.72,1.0264,1.58,0.0,8.9,8.7,2.9,15.0,HEATHROW,2000,3
2000-03-13,73,6,0.79,1.0263,0.67,0.0,1.0,10.0,4.9,13.0,HEATHROW,2000,3
2000-03-14,74,7,0.68,1.0248,0.87,0.0,2.2,10.8,8.5,12.7,HEATHROW,2000,3
2000-03-15,75,2,0.65,1.034,1.73,0.0,9.9,7.6,2.6,12.2,HEATHROW,2000,3
2000-03-16,76,6,0.72,1.0344,0.49,0.0,0.1,8.0,3.9,10.6,HEATHROW,2000,3
2000-03-17,77,8,0.68,1.0342,0.45,0.0,0.0,9.4,8.3,10.8,HEATHROW,2000,3
2000-03-18,78,5,0.67,1.0359,1.47,0.0,6.8,9.2,7.5,12.5,HEATHROW,2000,3
2000-03-19,79,4,0.72,1.0362,1.7,0.0,8.8,7.5,2.5,13.9,HEATHROW,2000,3
2000-03-20,80,6,0.78,1.0302,0.94,0.0,2.3,7.8,1.7,14.3,HEATHROW,2000,3
2000-03-21,81,5,0.79,1.0222,1.6,0.0,7.5,9.0,3.7,15.5,HEATHROW,2000,3
2000-03-22,82,6,0.73,1.0164,1.25,0.0,4.4,9.5,3.5,14.8,HEATHROW,2000,3
2000-03-23,83,8,0.7,1.0103,0.49,0.16,0.0,10.0,5.3,14.1,HEATHROW,2000,3
2000-03-24,84,6,0.77,1.0064,1.36,0.02,5.0,10.9,7.7,12.3,HEATHROW,2000,3
2000-03-25,85,4,0.78,1.0096,1.57,0.26,6.7,9.1,5.9,11.2,HEATHROW,2000,3
2000-03-26,86,4,0.74,1.0076,1.57,0.08,6.5,6.4,1.6,10.2,HEATHROW,2000,3
2000-03-27,87,6,0.77,1.0145,1.53,0.2,6.1,7.1,4.0,8.2,HEATHROW,2000,3
2000-03-28,88,7,0.72,1.021,0.64,0.12,0.3,6.2,4.3,7.1,HEATHROW,2000,3
2000-03-29,89,8,0.87,1.0177,0.53,0.0,0.0,5.4,3.7,8.2,HEATHROW,2000,3
2000-03-30,90,8,0.8,1.0147,0.53,0.0,0.0,6.6,5.0,10.0,HEATHROW,2000,3
2000-03-31,91,7,0.71,1.0074,1.08,0.0,2.4,7.5,5.0,11.8,HEATHROW,2000,3
2000-04-01,92,7,0.82,1.0009,1.15,0.06,2.8,6.8,1.7,13.7,HEATHROW,2000,4
2000-04-02,93,8,0.78,0.997,0.75,1.6,0.6,10.4,7.1,9.1,HEATHROW,2000,4
2000-04-03,94,8,0.92,0.9894,0.56,1.72,0.0,8.6,8.2,6.0,HEATHROW,2000,4
2000-04-04,95,8,0.82,0.9988,0.56,0.12,0.0,4.0,1.9,10.1,HEATHROW,2000,4
2000-04-05,96,6,0.65,1.0169,1.64,0.0,5.9,6.4,2.7,10.9,HEATHROW,2000,4
2000-04-06,97,1,0.66,1.0304,2.37,0.0,12.0,5.8,0.7,14.9,HEATHROW,2000,4
2000-04-07,98,2,0.71,1.0326,2.26,0.0,10.9,8.6,2.3,17.3,HEATHROW,2000,4
2000-04-08,99,4,0.61,1.0233,2.32,0.36,11.2,9.6,2.0,14.7,HEATHROW,2000,4
2000-04-09,100,5,0.68,1.0142,2.15,0.0,9.6,10.6,6.4,12.4,HEATHROW,2000,4
2000-04-10,101,2,0.62,1.0141,2.28,0.06,10.6,8.0,3.6,7.1,HEATHROW,2000,4
2000-04-11,102,7,0.83,0.9931,0.61,0.6,0.0,5.2,3.4,6.6,HEATHROW,2000,4
2000-04-12,103,8,0.92,0.9841,0.61,0.64,0.0,4.2,1.8,9.2,HEATHROW,2000,4
2000-04-13,104,7,0.86,0.9909,1.17,0.18,2.2,6.4,3.6,10.2,HEATHROW,2000,4
2000-04-14,105,7,0.77,0.9993,0.94,1.18,1.0,7.1,4.0,8.4,HEATHROW,2000,4
2000-04-15,106,8,0.89,0.9945,0.63,0.18,0.0,5.8,3.2,12.8,HEATHROW,2000,4
2000-04-16,107,5,0.78,0.9956,2.02,0.26,7.7,6.6,0.3,11.9,HEATHROW,2000,4
2000-04-17,108,5,0.78,0.9933,1.65,0.56,4.9,9.1,6.3,12.2,HEATHROW,2000,4
2000-04-18,109,7,0.85,1.0016,0.87,0.52,0.6,9.0,5.8,16.1,HEATHROW,2000,4
2000-04-19,110,6,0.72,1.0064,2.25,0.24,9.2,11.4,6.7,14.0,HEATHROW,2000,4
2000-04-20,111,8,0.9,1.0057,0.8,0.2,0.3,12.1,10.2,15.5,HEATHROW,2000,4
2000-04-21,112,6,0.74,1.0096,1.72,0.08,5.1,11.8,8.2,15.8,HEATHROW,2000,4
2000-04-22,113,6,0.77,1.0078,1.99,0.0,6.9,11.5,7.2,14.3,HEATHROW,2000,4
2000-04-23,114,6,0.83,1.0105,1.14,0.02,1.6,10.2,6.1,15.3,HEATHROW,2000,4
2000-04-24,115,6,0.76,1.0106,1.87,0.5,5.9,10.6,5.8,16.1,HEATHROW,2000,4
2000-04-25,116,7,0.83,1.0052,1.04,0.38,1.1,13.0,10.0,15.2,HEATHROW,2000,4
2000-04-26,117,7,0.84,1.0052,1.73,0.02,4.8,12.3,9.4,16.0,HEATHROW,2000,4
2000-04-27,118,6,0.74,1.0093,1.49,0.0,3.3,11.4,6.8,13.3,HEATHROW,2000,4
2000-04-28,119,8,0.88,1.0078,0.7,0.48,0.0,11.6,10.0,18.7,HEATHROW,2000,4
2000-04-29,120,3,0.69,1.0148,2.89,0.0,13.3,13.9,9.1,16.6,HEATHROW,2000,4
2000-04-30,121,6,0.74,1.0223,1.68,0.0,4.3,11.6,6.5,16.6,HEATHROW,2000,4
2000-05-01,122,5,0.74,1.0242,1.81,0.0,5.0,12.0,7.5,14.6,HEATHROW,2000,5
2000-05-02,123,6,0.73,1.0257,1.66,0.02,4.0,11.6,8.6,11.2,HEATHROW,2000,5
2000-05-03,124,8,0.84,1.0243,0.72,0.0,0.0,9.7,8.2,12.6,HEATHROW,2000,5
2000-05-04,125,7,0.8,1.0225,0.8,0.0,0.1,10.4,8.2,20.5,HEATHROW,2000,5
2000-05-05,126,6,0.74,1.0164,2.56,0.0,10.0,14.0,7.4,24.1,HEATHROW,2000,5
2000-05-06,127,5,0.71,1.0125,2.71,0.0,11.1,16.4,8.6,23.3,HEATHROW,2000,5
2000-05-07,128,6,0.72,1.0145,2.25,0.0,7.6,18.0,12.7,19.4,HEATHROW,2000,5
2000-05-08,129,6,0.84,1.0174,1.69,0.02,3.9,15.0,10.5,23.4,HEATHROW,2000,5
2000-05-09,130,5,0.82,1.0178,2.23,0.0,7.3,17.8,12.3,17.9,HEATHROW,2000,5
2000-05-10,131,7,0.84,1.0178,1.06,0.46,0.8,15.4,13.0,17.8,HEATHROW,2000,5
2000-05-11,132,7,0.76,1.0184,1.67,0.26,3.7,14.4,10.9,19.5,HEATHROW,2000,5
2000-05-12,133,7,0.77,1.0207,1.75,0.0,4.1,14.0,8.5,24.9,HEATHROW,2000,5
2000-05-13,134,5,0.76,1.0215,2.54,0.0,9.3,19.0,13.0,25.3,HEATHROW,2000,5
2000-05-14,135,5,0.72,1.0224,3.08,0.24,13.4,18.9,12.5,26.6,HEATHROW,2000,5
2000-05-15,136,6,0.67,1.0173,2.99,0.0,12.6,21.0,15.4,22.5,HEATHROW,2000,5
2000-05-16,137,4,0.66,1.0104,2.86,0.0,11.5,18.8,15.2,15.9,HEATHROW,2000,5
2000-05-17,138,7,0.64,1.0091,1.76,0.42,4.0,13.5,11.1,15.5,HEATHROW,2000,5
2000-05-18,139,5,0.76,1.0069,2.43,0.44,8.2,11.4,7.2,14.3,HEATHROW,2000,5
2000-05-19,140,6,0.71,1.0085,2.27,0.2,7.1,11.8,9.2,15.8,HEATHROW,2000,5
2000-05-20,141,5,0.7,1.0122,2.17,1.16,6.4,10.4,5.1,16.0,HEATHROW,2000,5
2000-05-21,142,7,0.77,1.0078,1.92,0.18,4.8,12.2,8.3,18.6,HEATHROW,2000,5
2000-05-22,143,5,0.71,1.0149,2.98,0.0,12.1,13.2,7.8,14.3,HEATHROW,2000,5
2000-05-23,144,8,0.85,1.0131,0.8,0.22,0.0,13.0,11.6,16.2,HEATHROW,2000,5
2000-05-24,145,7,0.79,1.0119,1.76,0.86,3.8,12.9,9.6,16.8,HEATHROW,2000,5
2000-05-25,146,4,0.67,1.0109,3.02,0.02,12.2,13.0,9.2,12.8,HEATHROW,2000,5
2000-05-26,147,8,0.86,1.0081,0.81,1.88,0.0,11.6,10.4,14.8,HEATHROW,2000,5
2000-05-27,148,6,0.74,1.0057,2.76,1.9,10.2,10.9,7.0,15.6,HEATHROW,2000,5
2000-05-28,149,7,0.77,1.0018,2.21,0.3,6.4,10.8,5.9,17.4,HEATHROW,2000,5
2000-05-29,150,4,0.68,1.0132,3.08,0.0,12.5,11.8,6.2,15.7,HEATHROW,2000,5
2000-05-30,151,6,0.66,1.0133,1.49,0.0,2.3,12.5,9.3,19.0,HEATHROW,2000,5
2000-05-31,152,6,0.66,1.0183,2.54,0.14,8.5,12.6,6.3,16.8,HEATHROW,2000,5
2000-06-01,153,8,0.85,1.0163,1.71,0.0,3.3,14.6,12.3,18.8,HEATHROW,2000,6
2000-06-02,154,7,0.76,1.0177,1.01,0.0,0.4,15.8,12.9,22.9,HEATHROW,2000,6
2000-06-03,155,7,0.72,1.0166,2.62,0.0,8.9,17.5,12.1,18.1,HEATHROW,2000,6
2000-06-04,156,5,0.69,1.0169,2.41,0.0,7.4,14.7,11.3,16.1,HEATHROW,2000,6
2000-06-05,157,7,0.81,1.0191,0.88,0.0,0.1,13.4,10.6,18.9,HEATHROW,2000,6
2000-06-06,158,4,0.72,1.0202,2.41,0.0,7.4,14.4,9.8,20.6,HEATHROW,2000,6
2000-06-07,159,5,0.58,1.0237,2.97,0.0,11.4,14.6,8.7,22.4,HEATHROW,2000,6
2000-06-08,160,5,0.54,1.0143,2.92,0.02,11.0,17.4,12.5,17.8,HEATHROW,2000,6
2000-06-09,161,5,0.78,1.0089,1.88,0.42,4.1,16.1,14.4,20.3,HEATHROW,2000,6
2000-06-10,162,5,0.63,1.0169,3.18,0.0,13.0,14.4,8.6,19.3,HEATHROW,2000,6
2000-06-11,163,6,0.62,1.0184,2.64,0.0,8.9,15.3,11.3,25.1,HEATHROW,2000,6
2000-06-12,164,5,0.7,1.0237,3.07,0.0,12.1,18.6,12.1,22.6,HEATHROW,2000,6
2000-06-13,165,7,0.73,1.0245,2.18,0.0,5.8,18.5,14.4,22.5,HEATHROW,2000,6
2000-06-14,166,8,0.77,1.0234,1.3,0.0,1.3,18.8,15.2,20.1,HEATHROW,2000,6
2000-06-15,167,7,0.74,1.0255,1.16,0.0,0.8,17.6,15.0,22.3,HEATHROW,2000,6
2000-06-16,168,6,0.77,1.0269,1.22,0.0,1.0,18.3,14.3,25.9,HEATHROW,2000,6
2000-06-17,169,2,0.59,1.0263,3.21,0.0,13.2,19.5,13.1,30.8,HEATHROW,2000,6
2000-06-18,170,1,0.45,1.0217,3.45,0.0,15.1,23.2,15.6,31.4,HEATHROW,2000,6
2000-06-19,171,3,0.51,1.0146,3.17,0.0,12.8,25.4,19.4,21.6,HEATHROW,2000,6
2000-06-20,172,7,0.82,1.0124,0.95,0.38,0.2,18.5,15.4,19.5,HEATHROW,2000,6
2000-06-21,173,6,0.7,1.0094,2.08,0.0,5.2,17.5,15.5,19.0,HEATHROW,2000,6
2000-06-22,174,7,0.74,1.0107,1.94,0.24,4.4,16.2,13.4,19.7,HEATHROW,2000,6
2000-06-23,175,6,0.7,1.0161,1.72,0.0,3.2,16.2,12.7,16.1,HEATHROW,2000,6
2000-06-24,176,6,0.72,1.0183,0.89,0.0,0.1,12.3,8.5,18.0,HEATHROW,2000,6
2000-06-25,177,7,0.68,1.0219,1.72,0.0,3.2,14.0,10.1,19.9,HEATHROW,2000,6
2000-06-26,178,6,0.69,1.0249,1.85,0.0,3.9,16.2,12.5,21.9,HEATHROW,2000,6
2000-06-27,179,6,0.62,1.0231,2.61,0.0,8.7,16.6,11.2,20.9,HEATHROW,2000,6
2000-06-28,180,7,0.65,1.0208,1.32,0.0,1.4,17.0,13.2,20.3,HEATHROW,2000,6
2000-06-29,181,7,0.71,1.0201,0.89,0.82,0.1,17.4,14.5,20.8,HEATHROW,2000,6
2000-06-30,182,7,0.86,1.0147,1.24,0.04,1.1,17.2,13.6,20.9,HEATHROW,2000,6
2000-07-01,183,6,0.8,1.0093,1.67,0.02,3.0,17.6,14.4,22.3,HEATHROW,2000,7
2000-07-02,184,6,0.78,1.0101,1.67,0.02,3.0,17.6,13.0,23.3,HEATHROW,2000,7
2000-07-03,185,7,0.72,1.0094,2.16,0.0,5.8,18.8,14.2,18.3,HEATHROW,2000,7
2000-07-04,186,8,0.86,1.0074,0.8,1.7,0.0,16.8,15.4,17.1,HEATHROW,2000,7
2000-07-05,187,8,0.88,1.0133,0.8,0.0,0.0,15.4,13.7,22.7,HEATHROW,2000,7
2000-07-06,188,7,0.78,1.0181,1.79,0.04,3.7,17.6,12.6,17.9,HEATHROW,2000,7
2000-07-07,189,6,0.7,1.0187,1.84,0.0,4.0,15.7,13.5,17.9,HEATHROW,2000,7
2000-07-08,190,7,0.74,1.0167,1.3,0.06,1.4,14.7,11.5,19.1,HEATHROW,2000,7
2000-07-09,191,8,0.84,0.9982,1.22,0.9,1.1,16.4,13.8,16.1,HEATHROW,2000,7
2000-07-10,192,7,0.85,0.9934,1.27,1.04,1.3,14.0,11.8,16.3,HEATHROW,2000,7
2000-07-11,193,5,0.68,1.0067,2.0,0.0,5.0,13.0,9.6,18.7,HEATHROW,2000,7
2000-07-12,194,7,0.76,1.0147,1.64,0.42,3.0,13.1,7.5,20.9,HEATHROW,2000,7
2000-07-13,195,7,0.82,1.0113,1.58,0.48,2.7,17.2,13.6,16.9,HEATHROW,2000,7
2000-07-14,196,6,0.73,1.0119,1.09,0.0,0.7,14.9,12.9,18.1,HEATHROW,2000,7
2000-07-15,197,4,0.68,1.0161,2.36,0.0,7.4,13.6,9.1,18.2,HEATHROW,2000,7
2000-07-16,198,6,0.61,1.0195,2.38,0.0,7.6,14.0,9.8,22.6,HEATHROW,2000,7
2000-07-17,199,5,0.58,1.02,2.93,0.0,11.7,16.2,9.8,24.7,HEATHROW,2000,7
2000-07-18,200,4,0.63,1.0206,2.79,0.0,10.7,17.8,10.9,25.2,HEATHROW,2000,7
2000-07-19,201,2,0.61,1.021,3.26,0.0,14.6,19.1,13.0,25.3,HEATHROW,2000,7
2000-07-20,202,3,0.57,1.0229,2.9,0.0,11.7,20.1,14.9,25.9,HEATHROW,2000,7
2000-07-21,203,1,0.66,1.0251,3.22,0.0,14.4,20.2,14.4,21.6,HEATHROW,2000,7
2000-07-22,204,5,0.68,1.022,2.6,0.0,9.5,17.2,12.9,19.0,HEATHROW,2000,7
2000-07-23,205,8,0.76,1.0159,1.09,0.0,0.8,15.9,12.8,17.2,HEATHROW,2000,7
2000-07-24,206,8,0.79,1.0102,0.83,0.0,0.1,15.0,12.9,19.0,HEATHROW,2000,7
2000-07-25,207,7,0.69,1.0082,1.05,0.0,0.7,15.9,12.8,23.4,HEATHROW,2000,7
2000-07-26,208,6,0.63,1.0101,2.45,0.0,8.6,18.6,13.9,25.0,HEATHROW,2000,7
2000-07-27,209,6,0.62,1.0129,2.29,0.0,7.5,20.0,15.1,20.9,HEATHROW,2000,7
2000-07-28,210,6,0.81,1.014,1.82,0.58,4.5,17.7,14.5,24.9,HEATHROW,2000,7
2000-07-29,211,5,0.73,1.017,2.48,0.02,9.0,19.2,13.4,24.8,HEATHROW,2000,7
2000-07-30,212,4,0.69,1.0219,2.54,0.0,9.5,19.2,13.7,25.3,HEATHROW,2000,7
2000-07-31,213,5,0.61,1.0215,2.8,0.0,11.7,20.7,16.1,24.5,HEATHROW,2000,7
2000-08-01,214,4,0.66,1.017,2.42,0.0,8.8,19.6,14.8,23.5,HEATHROW,2000,8
2000-08-02,215,4,0.76,1.0139,2.28,0.42,7.8,18.2,13.0,19.7,HEATHROW,2000,8
2000-08-03,216,7,0.83,1.0144,1.54,0.58,3.1,17.4,15.0,22.4,HEATHROW,2000,8
2000-08-04,217,6,0.7,1.0229,2.29,0.0,8.0,18.5,14.6,24.2,HEATHROW,2000,8
2000-08-05,218,5,0.67,1.0249,2.34,0.0,8.5,18.2,12.2,24.7,HEATHROW,2000,8
2000-08-06,219,5,0.72,1.0246,1.69,0.0,4.1,20.4,16.0,23.0,HEATHROW,2000,8
2000-08-07,220,7,0.74,1.0242,1.3,0.0,2.0,20.2,17.4,22.6,HEATHROW,2000,8
2000-08-08,221,6,0.78,1.0213,1.45,0.56,2.8,19.4,16.2,23.9,HEATHROW,2000,8
2000-08-09,222,6,0.78,1.0187,1.63,0.0,3.9,19.2,14.5,25.4,HEATHROW,2000,8
2000-08-10,223,6,0.7,1.016,1.96,0.0,6.1,21.0,16.5,24.9,HEATHROW,2000,8
2000-08-11,224,5,0.64,1.0156,2.13,0.0,7.4,20.1,15.3,27.4,HEATHROW,2000,8
2000-08-12,225,2,0.64,1.0139,2.78,0.0,12.8,20.4,13.4,23.6,HEATHROW,2000,8
2000-08-13,226,7,0.78,1.0153,1.0,0.1,0.9,19.4,15.1,23.7,HEATHROW,2000,8
2000-08-14,227,7,0.8,1.0155,1.12,0.0,1.4,20.8,17.9,24.4,HEATHROW,2000,8
2000-08-15,228,5,0.66,1.0186,2.19,0.0,8.2,19.4,14.3,23.1,HEATHROW,2000,8
2000-08-16,229,6,0.68,1.0136,2.14,0.01,7.9,18.9,14.7,23.1,HEATHROW,2000,8
2000-08-17,230,5,0.71,1.0116,2.15,0.24,8.1,18.9,14.7,19.9,HEATHROW,2000,8
2000-08-18,231,6,0.8,1.0115,0.71,0.06,0.1,16.6,13.2,23.2,HEATHROW,2000,8
2000-08-19,232,6,0.65,1.0103,2.44,0.0,10.7,18.7,14.2,21.7,HEATHROW,2000,8
2000-08-20,233,5,0.6,1.013,1.89,0.0,6.4,17.0,12.4,22.2,HEATHROW,2000,8
2000-08-21,234,2,0.63,1.0144,2.51,0.0,11.6,16.2,10.3,22.7,HEATHROW,2000,8
2000-08-22,235,5,0.65,1.0193,2.07,0.0,8.0,16.6,10.6,23.9,HEATHROW,2000,8
2000-08-23,236,1,0.62,1.0232,2.64,0.0,13.1,18.6,13.3,27.0,HEATHROW,2000,8
2000-08-24,237,1,0.61,1.0234,2.55,0.0,12.4,19.9,12.8,26.2,HEATHROW,2000,8
2000-08-25,238,3,0.6,1.0187,2.37,0.22,10.9,20.4,14.7,19.7,HEATHROW,2000,8
2000-08-26,239,6,0.84,1.0099,0.6,0.38,0.0,19.0,18.3,21.8,HEATHROW,2000,8
2000-08-27,240,5,0.8,1.0146,1.54,0.38,4.5,17.5,13.2,20.1,HEATHROW,2000,8
2000-08-28,241,6,0.73,1.0177,1.95,0.12,7.7,15.8,11.6,21.8,HEATHROW,2000,8
2000-08-29,242,5,0.67,1.0197,2.02,0.0,8.4,16.0,10.3,22.2,HEATHROW,2000,8
2000-08-30,243,4,0.64,1.019,2.13,0.0,9.5,17.6,13.0,22.6,HEATHROW,2000,8
2000-08-31,244,6,0.73,1.0107,1.74,0.16,6.3,16.6,10.5,18.9,HEATHROW,2000,8
2000-09-01,245,6,0.85,1.0014,1.17,0.46,2.7,16.0,13.0,19.9,HEATHROW,2000,9
2000-09-02,246,6,0.78,1.0077,1.37,0.08,4.2,15.8,11.7,18.6,HEATHROW,2000,9
2000-09-03,247,4,0.64,1.0197,2.02,0.0,9.8,14.0,9.4,20.5,HEATHROW,2000,9
