date,days,cloud_cover,humidity,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max,city,year,month
2000-02-10,41,3,0.77,1.53,0.12,7.2,-13.7,-17.2,-10.2,SONNBLICK,2000,2
2000-02-11,42,7,0.68,0.72,0.0,0.0,-9.4,-12.0,-6.8,SONNBLICK,2000,2
2000-02-12,43,4,0.78,1.46,0.0,9.1,-12.0,-13.5,-10.5,SONNBLICK,2000,2
2000-02-13,44,6,0.89,1.07,2.07,5.3,-11.7,-13.8,-9.6,SONNBLICK,2000,2
2000-02-14,45,7,0.96,1.55,0.25,7.2,-12.1,-14.1,-10.0,SONNBLICK,2000,2
2000-02-15,46,8,0.95,1.08,0.82,0.0,-10.6,-13.6,-7.6,SONNBLICK,2000,2
2000-02-16,47,7,0.96,1.04,1.55,0.0,-13.9,-17.4,-10.4,SONNBLICK,2000,2
2000-02-17,48,6,0.96,1.68,1.16,7.8,-19.1,-21.1,-17.0,SONNBLICK,2000,2
2000-02-18,49,8,0.95,1.18,1.29,3.8,-16.1,-20.2,-12.0,SONNBLICK,2000,2
2000-02-19,50,8,0.97,1.23,2.49,0.7,-12.2,-13.2,-11.1,SONNBLICK,2000,2
2000-02-20,51,8,0.96,1.01,1.2,0.0,-15.1,-16.9,-13.2,SONNBLICK,2000,2
2000-02-21,52,6,0.97,1.42,0.08,0.0,-19.1,-21.3,-16.9,SONNBLICK,2000,2
2000-02-22,53,6,0.69,1.34,0.1,4.1,-18.3,-22.0,-14.5,SONNBLICK,2000,2
2000-02-23,54,7,0.94,1.16,0.23,0.0,-17.1,-18.9,-15.2,SONNBLICK,2000,2
2000-02-24,55,4,0.7,1.72,0.18,8.4,-12.0,-17.2,-6.7,SONNBLICK,2000,2
2000-02-25,56,7,0.89,1.2,1.95,0.0,-6.7,-8.6,-4.8,SONNBLICK,2000,2
2000-02-26,57,2,0.52,1.89,0.0,10.4,-10.4,-12.3,-8.4,SONNBLICK,2000,2
2000-02-27,58,1,0.28,1.94,0.0,10.1,-9.7,-13.0,-6.4,SONNBLICK,2000,2
2000-02-28,59,0,0.41,1.98,0.0,10.5,-6.3,-8.6,-4.0,SONNBLICK,2000,2
2000-02-29,60,6,0.82,1.62,0.77,5.4,-8.8,-10.5,-7.0,SONNBLICK,2000,2
2000-03-01,61,8,0.98,0.86,1.22,0.0,-10.1,-11.0,-9.2,SONNBLICK,2000,3
2000-03-02,62,8,0.9,1.43,0.41,0.0,-14.4,-18.0,-10.8,SONNBLICK,2000,3
2000-03-03,63,5,0.93,1.64,0.0,6.1,-13.3,-18.4,-8.2,SONNBLICK,2000,3
2000-03-04,64,7,0.94,1.63,1.59,4.6,-12.6,-15.9,-9.2,SONNBLICK,2000,3
2000-03-05,65,8,0.93,1.76,0.76,1.0,-18.3,-20.8,-15.7,SONNBLICK,2000,3
2000-03-06,66,1,0.54,2.12,0.0,11.1,-14.5,-20.0,-9.0,SONNBLICK,2000,3
2000-03-07,67,3,0.42,2.09,0.0,10.1,-7.6,-9.5,-5.6,SONNBLICK,2000,3
2000-03-08,68,6,0.97,1.51,1.03,1.1,-7.0,-9.3,-4.6,SONNBLICK,2000,3
2000-03-09,69,6,0.96,1.39,2.85,0.0,-4.1,-5.5,-2.6,SONNBLICK,2000,3
2000-03-10,70,8,0.97,1.76,2.98,0.4,-7.6,-9.9,-5.2,SONNBLICK,2000,3
2000-03-11,71,5,0.9,1.64,2.06,6.6,-7.0,-9.8,-4.1,SONNBLICK,2000,3
2000-03-12,72,3,0.68,2.46,0.0,9.0,-9.1,-12.0,-6.2,SONNBLICK,2000,3
2000-03-13,73,2,0.6,2.58,0.11,11.3,-8.4,-10.3,-6.4,SONNBLICK,2000,3
2000-03-14,74,7,0.96,1.54,1.67,1.0,-8.2,-10.2,-6.2,SONNBLICK,2000,3
2000-03-15,75,8,0.96,1.8,1.65,0.0,-12.7,-17.8,-7.5,SONNBLICK,2000,3
2000-03-16,76,8,0.96,0.74,3.36,0.0,-15.6,-18.2,-12.9,SONNBLICK,2000,3
2000-03-17,77,8,0.97,0.81,5.08,0.0,-12.8,-15.0,-10.5,SONNBLICK,2000,3
2000-03-18,78,8,0.96,1.84,1.79,2.1,-12.9,-14.5,-11.2,SONNBLICK,2000,3
2000-03-19,79,8,0.97,1.38,1.49,0.0,-13.9,-15.8,-12.0,SONNBLICK,2000,3
2000-03-20,80,3,0.6,2.51,0.0,9.1,-16.1,-18.8,-13.3,SONNBLICK,2000,3
2000-03-21,81,1,0.52,2.7,0.0,11.0,-12.1,-15.4,-8.8,SONNBLICK,2000,3
2000-03-22,82,1,0.53,2.89,0.0,11.6,-6.8,-9.8,-3.8,SONNBLICK,2000,3
2000-03-23,83,4,0.6,2.45,0.0,10.1,-6.5,-9.0,-4.0,SONNBLICK,2000,3
2000-03-24,84,7,0.93,1.68,0.26,2.5,-3.9,-6.3,-1.4,SONNBLICK,2000,3
2000-03-25,85,8,0.98,1.48,0.32,0.0,-6.5,-8.5,-4.4,SONNBLICK,2000,3
2000-03-26,86,7,0.97,1.29,0.65,0.3,-7.8,-9.5,-6.0,SONNBLICK,2000,3
2000-03-27,87,8,0.98,1.08,1.13,0.0,-8.1,-10.8,-5.3,SONNBLICK,2000,3
2000-03-28,88,6,0.96,2.24,0.46,3.5,-10.2,-12.6,-7.8,SONNBLICK,2000,3
2000-03-29,89,8,0.97,0.95,1.72,0.0,-8.5,-10.8,-6.2,SONNBLICK,2000,3
2000-03-30,90,8,0.95,1.68,1.29,0.0,-10.5,-12.4,-8.6,SONNBLICK,2000,3
2000-03-31,91,7,0.96,1.94,0.23,4.1,-10.7,-13.0,-8.3,SONNBLICK,2000,3
2000-04-01,92,8,0.94,2.1,0.76,1.1,-9.0,-11.3,-6.7,SONNBLICK,2000,4
2000-04-02,93,6,0.96,2.4,0.0,6.5,-10.8,-13.0,-8.6,SONNBLICK,2000,4
2000-04-03,94,8,0.97,1.12,0.27,0.0,-8.2,-10.1,-6.3,SONNBLICK,2000,4
2000-04-04,95,6,0.96,0.64,0.0,0.0,-7.3,-8.3,-6.2,SONNBLICK,2000,4
2000-04-05,96,7,0.91,2.05,0.39,0.0,-7.8,-9.5,-6.1,SONNBLICK,2000,4
2000-04-06,97,8,0.95,2.17,0.69,0.0,-11.2,-14.8,-7.5,SONNBLICK,2000,4
2000-04-07,98,3,0.71,3.13,0.41,11.7,-15.0,-18.5,-11.5,SONNBLICK,2000,4
2000-04-08,99,5,0.7,3.08,0.0,9.7,-13.2,-14.8,-11.5,SONNBLICK,2000,4
2000-04-09,100,6,0.98,2.36,0.04,6.1,-9.9,-11.9,-7.9,SONNBLICK,2000,4
2000-04-10,101,7,0.99,2.16,0.0,2.8,-9.6,-11.1,-8.0,SONNBLICK,2000,4
2000-04-11,102,7,0.96,1.7,0.17,0.0,-9.0,-11.2,-6.8,SONNBLICK,2000,4
2000-04-12,103,8,0.96,1.97,1.79,0.0,-8.4,-9.3,-7.5,SONNBLICK,2000,4
2000-04-13,104,8,0.97,1.11,0.7,0.0,-7.8,-9.2,-6.4,SONNBLICK,2000,4
2000-04-14,105,7,0.99,1.96,0.02,0.0,-6.7,-8.0,-5.4,SONNBLICK,2000,4
2000-04-15,106,8,0.98,1.78,1.12,5.5,-5.8,-7.5,-4.0,SONNBLICK,2000,4
2000-04-16,107,6,0.97,2.58,0.05,0.0,-8.5,-12.0,-5.0,SONNBLICK,2000,4
2000-04-17,108,7,0.96,2.03,0.03,0.0,-5.4,-7.6,-3.2,SONNBLICK,2000,4
2000-04-18,109,8,0.97,1.0,1.01,0.0,-3.7,-5.5,-1.9,SONNBLICK,2000,4
2000-04-19,110,7,0.98,2.58,0.37,7.5,-2.1,-4.0,-0.2,SONNBLICK,2000,4
2000-04-20,111,2,0.87,3.71,0.0,13.1,-1.7,-3.2,-0.2,SONNBLICK,2000,4
2000-04-21,112,2,0.74,3.6,0.0,11.9,-1.7,-4.0,0.6,SONNBLICK,2000,4
2000-04-22,113,3,0.78,3.78,0.0,11.7,-0.9,-2.6,0.8,SONNBLICK,2000,4
2000-04-23,114,3,0.75,3.73,0.0,13.0,1.1,-1.0,3.2,SONNBLICK,2000,4
2000-04-24,115,8,0.97,2.35,0.86,2.0,-2.3,-6.0,1.4,SONNBLICK,2000,4
2000-04-25,116,3,0.86,3.63,0.0,11.7,-3.5,-6.5,-0.4,SONNBLICK,2000,4
2000-04-26,117,1,0.8,3.87,0.0,14.0,-0.5,-2.9,2.0,SONNBLICK,2000,4
2000-04-27,118,5,0.76,2.57,0.0,4.9,0.7,-0.7,2.0,SONNBLICK,2000,4
2000-04-28,119,7,0.85,2.38,0.0,1.4,-1.4,-3.2,0.4,SONNBLICK,2000,4
2000-04-29,120,8,0.98,1.48,0.16,0.0,-2.7,-4.3,-1.0,SONNBLICK,2000,4
2000-04-30,121,7,0.9,1.85,0.02,0.0,-1.2,-3.0,0.7,SONNBLICK,2000,4
2000-05-01,122,7,0.96,3.24,0.0,7.2,-1.2,-3.3,1.0,SONNBLICK,2000,5
2000-05-02,123,6,0.93,2.45,0.01,3.7,-0.9,-3.0,1.2,SONNBLICK,2000,5
2000-05-03,124,3,0.79,3.12,0.4,6.8,-1.0,-3.1,1.2,SONNBLICK,2000,5
2000-05-04,125,6,0.97,2.07,0.73,1.2,-0.2,-2.5,2.2,SONNBLICK,2000,5
2000-05-05,126,6,0.91,2.4,0.0,6.2,-0.3,-3.1,2.6,SONNBLICK,2000,5
2000-05-06,127,6,0.94,2.19,0.0,0.0,-1.3,-2.6,0.1,SONNBLICK,2000,5
2000-05-07,128,8,0.97,1.41,0.81,0.0,-1.3,-3.1,0.6,SONNBLICK,2000,5
2000-05-08,129,7,0.97,1.9,0.34,0.0,-0.7,-2.5,1.1,SONNBLICK,2000,5
2000-05-09,130,3,0.81,3.44,0.0,12.0,1.1,-1.7,3.8,SONNBLICK,2000,5
2000-05-10,131,3,0.81,3.44,0.16,11.8,2.5,-0.8,5.8,SONNBLICK,2000,5
2000-05-11,132,6,0.67,3.44,0.0,12.3,3.1,-0.2,6.4,SONNBLICK,2000,5
2000-05-12,133,7,0.97,1.71,0.7,3.6,1.7,-0.5,3.9,SONNBLICK,2000,5
2000-05-13,134,7,0.98,2.67,0.25,2.8,-0.6,-2.0,0.8,SONNBLICK,2000,5
2000-05-14,135,1,0.64,3.94,0.0,14.0,-0.2,-2.7,2.4,SONNBLICK,2000,5
2000-05-15,136,1,0.59,3.63,0.0,14.4,2.2,-1.2,5.5,SONNBLICK,2000,5
2000-05-16,137,5,0.9,3.35,0.62,11.1,2.1,0.0,4.2,SONNBLICK,2000,5
2000-05-17,138,5,0.74,2.61,0.0,8.3,2.7,-0.6,5.9,SONNBLICK,2000,5
2000-05-18,139,8,0.95,1.09,0.27,0.0,0.6,-1.1,2.3,SONNBLICK,2000,5
2000-05-19,140,5,0.91,2.82,2.09,7.9,-3.8,-8.5,0.9,SONNBLICK,2000,5
2000-05-20,141,7,0.93,2.63,1.28,3.6,-7.3,-9.2,-5.4,SONNBLICK,2000,5
2000-05-21,142,3,0.86,3.59,0.34,9.9,-6.4,-10.8,-2.0,SONNBLICK,2000,5
2000-05-22,143,6,0.96,2.95,0.8,4.6,-5.4,-8.0,-2.8,SONNBLICK,2000,5
2000-05-23,144,4,0.9,3.76,0.0,10.7,-4.9,-8.0,-1.8,SONNBLICK,2000,5
2000-05-24,145,4,0.66,3.29,0.0,10.3,-0.1,-3.4,3.2,SONNBLICK,2000,5
2000-05-25,146,4,0.69,3.23,0.05,9.8,2.0,-1.3,5.3,SONNBLICK,2000,5
2000-05-26,147,8,0.97,2.14,0.0,0.0,1.5,0.4,2.6,SONNBLICK,2000,5
2000-05-27,148,5,0.87,2.4,0.0,3.8,1.4,0.2,2.6,SONNBLICK,2000,5
2000-05-28,149,8,0.96,1.2,0.79,0.0,0.3,-0.8,1.3,SONNBLICK,2000,5
2000-05-29,150,8,0.97,1.59,0.2,0.0,-3.0,-5.6,-0.4,SONNBLICK,2000,5
2000-05-30,151,6,0.96,2.37,0.31,4.5,-5.4,-8.2,-2.5,SONNBLICK,2000,5
2000-05-31,152,8,0.97,2.63,0.85,3.2,-2.4,-4.3,-0.4,SONNBLICK,2000,5
2000-06-01,153,2,0.64,3.99,0.0,13.8,-1.9,-6.6,2.8,SONNBLICK,2000,6
2000-06-02,154,6,0.7,2.77,0.0,9.0,5.1,1.9,8.2,SONNBLICK,2000,6
2000-06-03,155,6,0.79,2.2,2.15,4.4,5.1,3.3,6.8,SONNBLICK,2000,6
2000-06-04,156,4,0.9,2.45,0.7,7.5,6.1,2.7,9.4,SONNBLICK,2000,6
2000-06-05,157,5,0.88,2.45,0.17,7.9,4.1,1.8,6.4,SONNBLICK,2000,6
2000-06-06,158,6,0.88,2.75,1.12,8.0,4.7,1.4,8.0,SONNBLICK,2000,6
2000-06-07,159,8,0.98,2.61,0.0,0.0,-0.6,-3.1,1.9,SONNBLICK,2000,6
2000-06-08,160,7,0.97,2.54,0.0,9.6,1.1,-2.4,4.5,SONNBLICK,2000,6
2000-06-09,161,4,0.81,2.64,0.0,9.7,4.5,1.2,7.8,SONNBLICK,2000,6
2000-06-10,162,3,0.74,3.64,0.01,13.1,5.7,2.9,8.5,SONNBLICK,2000,6
2000-06-11,163,8,0.99,0.97,0.05,0.0,4.2,1.8,6.6,SONNBLICK,2000,6
2000-06-12,164,5,0.78,3.37,0.03,11.4,6.7,2.1,11.3,SONNBLICK,2000,6
2000-06-13,165,6,0.95,1.0,0.41,2.9,5.1,3.4,6.7,SONNBLICK,2000,6
2000-06-14,166,4,0.85,1.67,0.82,6.9,5.5,1.8,9.2,SONNBLICK,2000,6
2000-06-15,167,7,0.97,2.44,1.71,2.3,2.5,0.7,4.2,SONNBLICK,2000,6
2000-06-16,168,7,0.98,2.04,0.65,0.0,-0.9,-2.8,1.0,SONNBLICK,2000,6
2000-06-17,169,4,0.91,1.98,0.0,7.9,-4.8,-6.8,-2.7,SONNBLICK,2000,6
2000-06-18,170,3,0.42,4.08,0.0,12.2,0.0,-4.5,4.5,SONNBLICK,2000,6
2000-06-19,171,1,0.74,4.03,0.0,14.4,4.3,1.0,7.6,SONNBLICK,2000,6
2000-06-20,172,1,0.56,3.24,0.38,13.2,7.5,3.9,11.0,SONNBLICK,2000,6
2000-06-21,173,5,0.83,2.42,1.73,8.0,6.3,4.0,8.6,SONNBLICK,2000,6
2000-06-22,174,3,0.73,3.95,0.08,12.7,7.6,4.0,11.1,SONNBLICK,2000,6
2000-06-23,175,8,0.94,1.49,3.1,3.3,3.9,-1.0,8.8,SONNBLICK,2000,6
2000-06-24,176,8,0.98,2.65,2.12,3.7,0.1,-2.6,2.8,SONNBLICK,2000,6
2000-06-25,177,8,0.95,2.63,1.19,0.0,-2.8,-5.2,-0.3,SONNBLICK,2000,6
2000-06-26,178,7,0.96,3.34,0.0,8.0,-3.4,-6.4,-0.3,SONNBLICK,2000,6
2000-06-27,179,2,0.58,4.4,0.0,13.7,-2.3,-5.8,1.2,SONNBLICK,2000,6
2000-06-28,180,7,0.91,2.33,0.43,7.3,1.1,-1.3,3.4,SONNBLICK,2000,6
2000-06-29,181,7,0.95,2.03,0.68,1.9,-1.6,-3.5,0.3,SONNBLICK,2000,6
2000-06-30,182,7,0.97,2.74,0.0,7.3,0.9,-2.1,3.8,SONNBLICK,2000,6
2000-07-01,183,7,0.93,2.27,0.45,4.6,2.6,-0.3,5.4,SONNBLICK,2000,7
2000-07-02,184,5,0.84,3.63,0.23,12.5,5.0,1.6,8.3,SONNBLICK,2000,7
2000-07-03,185,6,0.89,1.81,0.24,6.9,6.2,4.0,8.4,SONNBLICK,2000,7
2000-07-04,186,7,0.92,1.42,1.54,3.6,4.3,1.8,6.8,SONNBLICK,2000,7
2000-07-05,187,8,0.98,1.41,0.54,0.0,2.6,0.4,4.8,SONNBLICK,2000,7
2000-07-06,188,6,0.93,3.35,0.0,10.4,4.9,1.6,8.2,SONNBLICK,2000,7
2000-07-07,189,7,0.95,2.02,0.93,5.4,6.1,3.3,8.8,SONNBLICK,2000,7
2000-07-08,190,8,0.97,1.36,1.62,0.9,0.5,-2.3,3.3,SONNBLICK,2000,7
2000-07-09,191,5,0.95,2.35,0.29,4.2,-3.5,-6.0,-1.0,SONNBLICK,2000,7
2000-07-10,192,8,0.97,1.15,0.88,0.0,-0.3,-1.6,1.1,SONNBLICK,2000,7
2000-07-11,193,7,0.98,1.88,2.67,3.5,-1.7,-3.7,0.3,SONNBLICK,2000,7
2000-07-12,194,8,0.94,3.06,1.45,0.0,-2.4,-5.3,0.6,SONNBLICK,2000,7
2000-07-13,195,6,0.95,2.87,0.03,6.7,-4.9,-6.7,-3.0,SONNBLICK,2000,7
2000-07-14,196,8,0.97,1.71,2.31,0.0,-2.2,-4.8,0.5,SONNBLICK,2000,7
2000-07-15,197,8,0.95,2.05,1.04,0.0,-1.6,-5.2,2.0,SONNBLICK,2000,7
2000-07-16,198,8,0.93,2.47,0.86,0.0,-4.4,-6.4,-2.4,SONNBLICK,2000,7
2000-07-17,199,5,0.91,3.46,1.25,9.2,-3.5,-6.8,-0.2,SONNBLICK,2000,7
2000-07-18,200,6,0.91,2.48,0.0,5.3,-2.1,-4.2,0.0,SONNBLICK,2000,7
2000-07-19,201,5,0.94,2.12,0.19,1.9,-1.6,-3.9,0.8,SONNBLICK,2000,7
2000-07-20,202,5,0.92,2.94,0.03,5.5,-1.8,-3.5,0.0,SONNBLICK,2000,7
2000-07-21,203,7,0.89,1.87,0.0,3.3,-1.9,-4.2,0.4,SONNBLICK,2000,7
2000-07-22,204,5,0.86,3.27,0.56,10.6,0.6,-1.6,2.7,SONNBLICK,2000,7
2000-07-23,205,7,0.89,2.62,0.44,7.0,3.1,0.0,6.2,SONNBLICK,2000,7
2000-07-24,206,8,0.98,0.91,0.31,0.0,3.4,2.8,3.9,SONNBLICK,2000,7
2000-07-25,207,8,0.99,1.25,0.18,1.0,2.2,0.5,3.8,SONNBLICK,2000,7
2000-07-26,208,8,0.98,1.23,0.85,1.7,2.5,0.9,4.0,SONNBLICK,2000,7
2000-07-27,209,5,0.85,2.68,0.6,10.4,2.6,-0.9,6.1,SONNBLICK,2000,7
2000-07-28,210,8,0.97,0.66,2.56,0.0,1.4,-1.6,4.4,SONNBLICK,2000,7
2000-07-29,211,7,0.93,2.35,2.33,4.6,-1.3,-2.9,0.4,SONNBLICK,2000,7
2000-07-30,212,8,0.95,2.29,0.88,7.7,-1.2,-2.6,0.2,SONNBLICK,2000,7
2000-07-31,213,7,0.91,2.36,0.0,0.0,-0.5,-1.9,1.0,SONNBLICK,2000,7
2000-08-01,214,1,0.87,3.42,0.0,13.9,2.3,-1.0,5.5,SONNBLICK,2000,8
2000-08-02,215,3,0.77,2.21,0.01,8.5,5.8,2.4,9.1,SONNBLICK,2000,8
2000-08-03,216,6,0.96,0.85,1.28,0.0,3.9,2.4,5.3,SONNBLICK,2000,8
2000-08-04,217,8,0.97,0.59,1.33,0.0,1.8,0.0,3.6,SONNBLICK,2000,8
2000-08-05,218,8,0.97,0.77,2.69,0.0,1.4,0.1,2.6,SONNBLICK,2000,8
2000-08-06,219,8,0.96,1.95,1.05,3.3,1.1,-0.9,3.0,SONNBLICK,2000,8
2000-08-07,220,8,0.99,1.13,0.93,0.0,-0.6,-1.1,0.0,SONNBLICK,2000,8
2000-08-08,221,6,0.95,2.24,0.33,5.2,-0.1,-1.7,1.6,SONNBLICK,2000,8
2000-08-09,222,7,0.96,1.7,0.0,2.5,2.2,0.1,4.3,SONNBLICK,2000,8
2000-08-10,223,3,0.83,2.35,0.0,8.3,3.5,0.4,6.5,SONNBLICK,2000,8
2000-08-11,224,1,0.76,3.59,0.0,13.9,3.9,2.1,5.7,SONNBLICK,2000,8
2000-08-12,225,5,0.74,1.74,0.0,5.2,5.2,3.1,7.3,SONNBLICK,2000,8
2000-08-13,226,7,0.91,2.24,0.01,5.9,5.5,2.0,9.0,SONNBLICK,2000,8
2000-08-14,227,3,0.84,3.48,0.0,12.6,4.5,2.0,7.0,SONNBLICK,2000,8
2000-08-15,228,1,0.71,2.99,0.0,14.0,4.2,2.0,6.3,SONNBLICK,2000,8
2000-08-16,229,5,0.89,1.81,0.63,5.8,7.9,3.9,11.8,SONNBLICK,2000,8
2000-08-17,230,4,0.81,2.61,1.78,9.8,7.2,3.5,10.8,SONNBLICK,2000,8
2000-08-18,231,4,0.76,2.42,0.0,9.2,6.9,4.2,9.5,SONNBLICK,2000,8
2000-08-19,232,4,0.74,2.54,0.0,8.9,6.9,4.4,9.3,SONNBLICK,2000,8
2000-08-20,233,1,0.63,3.35,0.0,12.5,7.9,5.4,10.4,SONNBLICK,2000,8
2000-08-21,234,2,0.64,3.23,0.0,10.2,8.5,6.4,10.6,SONNBLICK,2000,8
2000-08-22,235,4,0.8,2.67,0.0,11.4,6.5,3.5,9.5,SONNBLICK,2000,8
2000-08-23,236,4,0.77,2.34,0.0,10.1,6.2,3.4,9.0,SONNBLICK,2000,8
2000-08-24,237,1,0.58,3.17,0.0,13.3,5.8,3.6,7.9,SONNBLICK,2000,8
2000-08-25,238,4,0.81,2.99,0.0,11.6,3.7,0.3,7.0,SONNBLICK,2000,8
2000-08-26,239,2,0.58,3.11,0.0,13.4,5.7,2.4,9.0,SONNBLICK,2000,8
2000-08-27,240,6,0.77,2.12,1.76,7.3,7.2,3.2,11.2,SONNBLICK,2000,8
2000-08-28,241,8,0.96,0.37,1.05,0.0,0.9,-1.4,3.2,SONNBLICK,2000,8
2000-08-29,242,7,0.96,2.52,0.0,9.0,-0.5,-4.2,3.2,SONNBLICK,2000,8
2000-08-30,243,6,0.9,1.78,0.87,5.4,2.2,0.4,3.9,SONNBLICK,2000,8
2000-08-31,244,7,0.99,1.16,1.5,0.0,1.5,0.7,2.2,SONNBLICK,2000,8
2000-09-01,245,7,0.98,1.44,0.12,1.2,1.3,-0.3,2.8,SONNBLICK,2000,9
2000-09-02,246,8,0.99,0.82,0.57,0.0,-0.1,-2.2,2.0,SONNBLICK,2000,9
2000-09-03,247,8,0.96,1.96,0.81,5.5,-2.2,-3.5,-0.8,SONNBLICK,2000,9
2000-09-04,248,8,0.98,1.92,1.57,0.0,-4.0,-5.5,-2.5,SONNBLICK,2000,9
2000-09-05,249,8,0.97,1.66,1.11,0.0,-4.8,-6.2,-3.4,SONNBLICK,2000,9
2000-09-06,250,4,0.86,2.58,1.02,10.5,-4.6,-7.2,-2.0,SONNBLICK,2000,9
2000-09-07,251,8,0.97,1.58,3.01,0.8,-3.0,-4.5,-1.4,SONNBLICK,2000,9
2000-09-08,252,3,0.63,2.8,0.0,12.1,-2.7,-6.0,0.6,SONNBLICK,2000,9
2000-09-09,253,4,0.26,2.7,0.0,12.0,3.8,0.3,7.3,SONNBLICK,2000,9
2000-09-10,254,1,0.55,2.72,0.0,12.3,4.1,2.8,5.4,SONNBLICK,2000,9
2000-09-11,255,6,0.93,2.6,0.0,10.5,3.1,2.0,4.1,SONNBLICK,2000,9
2000-09-12,256,2,0.66,2.65,0.0,12.3,4.1,1.5,6.7,SONNBLICK,2000,9
2000-09-13,257,6,0.95,1.23,0.48,3.7,3.5,1.5,5.4,SONNBLICK,2000,9
