date,days,wind_speed,humidity,pressure,global_radiation,precipitation,temp_mean,temp_min,temp_max,city,year,month
2000-03-09,69,5.9,0.49,1.0278,1.77,0.0,16.2,11.0,21.4,MONTELIMAR,2000,3
2000-03-10,70,7.1,0.6,1.0252,1.73,0.0,14.4,12.0,16.9,MONTELIMAR,2000,3
2000-03-11,71,6.9,0.54,1.0211,1.88,0.0,15.2,10.0,20.5,MONTELIMAR,2000,3
2000-03-12,72,6.8,0.61,1.0206,1.88,0.0,13.0,9.0,17.0,MONTELIMAR,2000,3
2000-03-13,73,4.1,0.65,1.0241,1.65,0.0,12.4,6.4,18.4,MONTELIMAR,2000,3
2000-03-14,74,5.2,0.57,1.0242,1.75,0.0,13.8,8.8,18.8,MONTELIMAR,2000,3
2000-03-15,75,10.4,0.45,1.0235,1.94,0.0,11.0,9.0,13.1,MONTELIMAR,2000,3
2000-03-16,76,9.9,0.5,1.0264,1.84,0.0,10.0,5.5,14.6,MONTELIMAR,2000,3
2000-03-17,77,9.9,0.58,1.0224,1.87,0.0,12.0,8.0,16.1,MONTELIMAR,2000,3
2000-03-18,78,9.5,0.55,1.0213,1.58,0.0,12.5,10.8,14.2,MONTELIMAR,2000,3
2000-03-19,79,6.5,0.61,1.0228,1.66,0.0,10.1,7.6,12.6,MONTELIMAR,2000,3
2000-03-20,80,3.2,0.79,1.0218,0.73,0.34,7.6,4.3,10.9,MONTELIMAR,2000,3
2000-03-21,81,1.6,0.71,1.0215,1.92,0.0,8.6,0.5,16.6,MONTELIMAR,2000,3
2000-03-22,82,2.6,0.66,1.0208,2.01,0.0,10.8,3.5,18.0,MONTELIMAR,2000,3
2000-03-23,83,3.5,0.69,1.0161,0.77,0.86,11.6,6.6,16.5,MONTELIMAR,2000,3
2000-03-24,84,1.5,0.83,1.0157,1.24,0.94,13.0,8.8,17.1,MONTELIMAR,2000,3
2000-03-25,85,2.1,0.85,1.0169,1.8,0.26,12.0,5.8,18.1,MONTELIMAR,2000,3
2000-03-26,86,2.5,0.66,1.0131,1.65,0.02,12.0,8.3,15.6,MONTELIMAR,2000,3
2000-03-27,87,3.0,0.69,1.0083,1.69,0.0,9.4,5.6,13.2,MONTELIMAR,2000,3
2000-03-28,88,4.9,0.66,1.0073,2.23,0.02,8.6,4.5,12.7,MONTELIMAR,2000,3
2000-03-29,89,1.5,0.81,1.0101,1.03,0.32,8.1,5.6,10.6,MONTELIMAR,2000,3
2000-03-30,90,1.1,0.74,1.0151,2.01,0.02,8.1,1.2,15.0,MONTELIMAR,2000,3
2000-03-31,91,1.1,0.92,1.0097,0.22,1.82,5.5,3.1,7.9,MONTELIMAR,2000,3
2000-04-01,92,0.9,0.78,1.0083,1.77,0.0,9.5,3.8,15.2,MONTELIMAR,2000,4
2000-04-02,93,2.8,0.66,1.001,1.48,0.06,10.4,2.9,18.0,MONTELIMAR,2000,4
2000-04-03,94,7.2,0.64,0.9926,0.82,0.32,13.9,10.0,17.8,MONTELIMAR,2000,4
2000-04-04,95,5.5,0.7,0.9951,1.75,0.3,14.6,10.7,18.6,MONTELIMAR,2000,4
2000-04-05,96,3.6,0.83,1.0079,1.03,0.24,10.8,6.2,15.4,MONTELIMAR,2000,4
2000-04-06,97,8.0,0.7,1.0185,1.9,0.0,9.4,7.2,11.7,MONTELIMAR,2000,4
2000-04-07,98,5.6,0.63,1.0239,2.43,0.0,10.5,6.2,14.9,MONTELIMAR,2000,4
2000-04-08,99,3.2,0.61,1.0193,2.25,0.0,12.2,5.3,19.0,MONTELIMAR,2000,4
2000-04-09,100,1.5,0.85,1.0092,0.49,0.52,10.2,8.6,11.9,MONTELIMAR,2000,4
2000-04-10,101,1.8,0.83,1.0058,1.1,0.14,12.0,8.3,15.6,MONTELIMAR,2000,4
2000-04-11,102,1.9,0.85,1.0001,1.53,0.7,12.8,8.6,16.9,MONTELIMAR,2000,4
2000-04-12,103,3.5,0.66,1.0011,1.34,0.08,12.0,9.0,15.0,MONTELIMAR,2000,4
2000-04-13,104,2.4,0.75,1.0044,1.75,0.0,14.0,9.7,18.4,MONTELIMAR,2000,4
2000-04-14,105,4.6,0.67,1.0024,0.81,1.32,13.1,7.7,18.5,MONTELIMAR,2000,4
2000-04-15,106,2.4,0.64,1.0057,2.22,0.0,13.2,8.0,18.4,MONTELIMAR,2000,4
2000-04-16,107,2.1,0.8,1.0007,0.28,3.4,12.2,9.2,15.3,MONTELIMAR,2000,4
2000-04-17,108,3.2,0.74,1.0086,1.52,0.0,12.0,8.1,16.0,MONTELIMAR,2000,4
2000-04-18,109,2.9,0.65,1.0088,2.68,0.0,13.0,6.9,19.0,MONTELIMAR,2000,4
2000-04-19,110,4.6,0.64,1.0121,2.69,0.0,11.7,5.6,17.7,MONTELIMAR,2000,4
2000-04-20,111,3.4,0.61,1.0138,2.69,0.0,16.0,8.7,23.4,MONTELIMAR,2000,4
2000-04-21,112,2.0,0.65,1.0161,2.44,0.0,16.1,6.4,25.7,MONTELIMAR,2000,4
2000-04-22,113,3.2,0.66,1.014,2.26,0.0,16.2,8.9,23.6,MONTELIMAR,2000,4
2000-04-23,114,2.4,0.83,1.0138,0.26,1.8,12.2,9.7,14.8,MONTELIMAR,2000,4
2000-04-24,115,3.6,0.72,1.0147,2.81,0.0,10.5,4.5,16.5,MONTELIMAR,2000,4
2000-04-25,116,3.0,0.7,1.0129,2.75,0.0,14.4,6.4,22.3,MONTELIMAR,2000,4
2000-04-26,117,3.1,0.63,1.0126,2.48,0.0,16.4,10.2,22.5,MONTELIMAR,2000,4
2000-04-27,118,1.9,0.78,1.0068,0.9,1.06,12.9,7.7,18.1,MONTELIMAR,2000,4
2000-04-28,119,2.4,0.92,1.0102,0.42,3.44,11.7,11.0,12.4,MONTELIMAR,2000,4
2000-04-29,120,2.9,0.74,1.016,2.88,0.0,13.8,7.4,20.1,MONTELIMAR,2000,4
2000-04-30,121,1.8,0.67,1.0184,2.74,0.0,14.6,6.7,22.5,MONTELIMAR,2000,4
2000-05-01,122,1.8,0.69,1.0149,2.83,0.02,17.4,9.2,25.7,MONTELIMAR,2000,5
2000-05-02,123,2.6,0.72,1.0142,2.59,0.0,18.4,10.8,25.9,MONTELIMAR,2000,5
2000-05-03,124,1.9,0.66,1.0166,2.74,0.0,18.7,11.1,26.2,MONTELIMAR,2000,5
2000-05-04,125,1.5,0.66,1.016,2.76,0.0,17.3,8.7,25.9,MONTELIMAR,2000,5
2000-05-05,126,1.8,0.72,1.0126,2.21,0.04,18.6,11.8,25.4,MONTELIMAR,2000,5
2000-05-06,127,2.0,0.82,1.0124,1.17,0.06,17.6,14.0,21.1,MONTELIMAR,2000,5
2000-05-07,128,0.9,0.84,1.0155,1.4,0.08,17.0,12.6,21.3,MONTELIMAR,2000,5
2000-05-08,129,1.5,0.74,1.0172,2.88,0.0,17.9,11.2,24.6,MONTELIMAR,2000,5
2000-05-09,130,2.0,0.85,1.0163,1.63,0.84,18.2,12.6,23.9,MONTELIMAR,2000,5
2000-05-10,131,2.5,0.87,1.0145,1.19,1.26,18.6,15.6,21.5,MONTELIMAR,2000,5
2000-05-11,132,3.1,0.76,1.017,2.82,0.02,19.4,15.5,23.4,MONTELIMAR,2000,5
2000-05-12,133,1.0,0.72,1.019,3.13,0.0,18.4,10.7,26.1,MONTELIMAR,2000,5
2000-05-13,134,3.1,0.73,1.0199,2.23,0.02,17.5,11.9,23.1,MONTELIMAR,2000,5
2000-05-14,135,2.9,0.72,1.0203,3.2,0.02,19.5,13.4,25.6,MONTELIMAR,2000,5
2000-05-15,136,1.8,0.69,1.0202,3.17,0.0,20.4,12.5,28.4,MONTELIMAR,2000,5
2000-05-16,137,2.4,0.64,1.0184,3.18,0.0,20.2,12.3,28.2,MONTELIMAR,2000,5
2000-05-17,138,1.9,0.74,1.0169,1.41,0.04,17.7,12.4,23.0,MONTELIMAR,2000,5
2000-05-18,139,3.4,0.63,1.0131,2.44,0.0,18.8,14.3,23.2,MONTELIMAR,2000,5
2000-05-19,140,4.4,0.54,1.0138,2.96,0.0,15.9,12.4,19.4,MONTELIMAR,2000,5
2000-05-20,141,5.2,0.55,1.012,3.43,0.0,15.8,10.9,20.7,MONTELIMAR,2000,5
2000-05-21,142,3.1,0.58,1.012,3.27,0.0,18.0,10.8,25.2,MONTELIMAR,2000,5
2000-05-22,143,6.4,0.51,1.0172,3.48,0.0,17.1,13.8,20.4,MONTELIMAR,2000,5
2000-05-23,144,4.5,0.57,1.0189,3.46,0.0,17.2,10.8,23.5,MONTELIMAR,2000,5
2000-05-24,145,2.1,0.53,1.0167,3.38,0.0,18.8,10.0,27.5,MONTELIMAR,2000,5
2000-05-25,146,2.5,0.67,1.017,2.22,0.0,18.6,12.0,25.1,MONTELIMAR,2000,5
2000-05-26,147,3.5,0.64,1.0147,3.27,2.84,20.8,13.6,27.9,MONTELIMAR,2000,5
2000-05-27,148,4.4,0.75,1.0163,2.98,0.14,16.5,12.4,20.6,MONTELIMAR,2000,5
2000-05-28,149,1.2,0.76,1.0149,1.44,0.02,17.0,11.6,22.3,MONTELIMAR,2000,5
2000-05-29,150,4.5,0.62,1.0173,2.9,0.0,18.6,15.7,21.5,MONTELIMAR,2000,5
2000-05-30,151,1.5,0.6,1.0181,2.49,0.0,20.5,14.3,26.7,MONTELIMAR,2000,5
2000-05-31,152,3.1,0.65,1.0196,2.53,0.0,19.7,15.6,23.8,MONTELIMAR,2000,5
2000-06-01,153,3.4,0.6,1.0216,3.36,0.0,22.4,15.9,28.9,MONTELIMAR,2000,6
2000-06-02,154,2.2,0.66,1.021,3.37,0.0,21.2,13.3,29.1,MONTELIMAR,2000,6
2000-06-03,155,2.4,0.62,1.0186,2.99,0.0,21.6,13.2,29.9,MONTELIMAR,2000,6
2000-06-04,156,2.2,0.61,1.0175,3.29,0.0,22.0,13.8,30.3,MONTELIMAR,2000,6
2000-06-05,157,3.9,0.64,1.0161,2.18,0.0,22.0,16.8,27.1,MONTELIMAR,2000,6
2000-06-06,158,8.6,0.63,1.0189,2.81,0.0,17.6,15.2,20.1,MONTELIMAR,2000,6
2000-06-07,159,7.5,0.57,1.0189,3.44,0.0,18.6,14.2,22.9,MONTELIMAR,2000,6
2000-06-08,160,4.5,0.59,1.0166,3.35,0.0,22.0,14.3,29.8,MONTELIMAR,2000,6
2000-06-09,161,4.0,0.69,1.0147,3.08,0.0,23.1,16.8,29.4,MONTELIMAR,2000,6
2000-06-10,162,2.9,0.83,1.0122,1.52,1.64,21.0,15.9,26.2,MONTELIMAR,2000,6
2000-06-11,163,5.6,0.83,1.0178,0.72,0.02,16.1,14.2,18.0,MONTELIMAR,2000,6
2000-06-12,164,6.9,0.73,1.0231,1.97,0.0,17.5,13.8,21.2,MONTELIMAR,2000,6
2000-06-13,165,4.5,0.7,1.0234,2.49,2.16,21.9,18.2,25.6,MONTELIMAR,2000,6
2000-06-14,166,2.5,0.85,1.0229,1.73,0.18,21.6,17.1,26.1,MONTELIMAR,2000,6
2000-06-15,167,6.9,0.63,1.0214,3.49,0.0,23.7,19.5,27.9,MONTELIMAR,2000,6
2000-06-16,168,6.8,0.57,1.0208,3.53,0.0,22.6,18.5,26.7,MONTELIMAR,2000,6
2000-06-17,169,5.8,0.52,1.022,3.49,0.0,22.1,17.6,26.6,MONTELIMAR,2000,6
2000-06-18,170,2.9,0.61,1.0248,3.37,0.0,22.2,14.1,30.2,MONTELIMAR,2000,6
2000-06-19,171,2.8,0.6,1.0226,3.48,0.0,21.8,13.7,30.0,MONTELIMAR,2000,6
2000-06-20,172,2.8,0.56,1.0197,3.59,0.0,21.1,12.9,29.3,MONTELIMAR,2000,6
2000-06-21,173,2.5,0.62,1.0195,3.52,0.0,19.8,11.1,28.5,MONTELIMAR,2000,6
2000-06-22,174,2.6,0.67,1.0197,2.98,2.84,21.3,12.8,29.8,MONTELIMAR,2000,6
2000-06-23,175,5.1,0.58,1.0203,3.52,0.0,20.6,17.3,24.0,MONTELIMAR,2000,6
2000-06-24,176,4.6,0.57,1.0183,3.22,0.0,18.8,13.5,24.1,MONTELIMAR,2000,6
2000-06-25,177,5.4,0.54,1.0182,3.35,0.0,18.4,15.1,21.8,MONTELIMAR,2000,6
2000-06-26,178,5.8,0.49,1.0189,3.63,0.0,18.6,13.5,23.6,MONTELIMAR,2000,6
2000-06-27,179,3.5,0.57,1.0167,3.27,0.0,21.8,14.1,29.5,MONTELIMAR,2000,6
2000-06-28,180,2.9,0.7,1.0157,2.02,0.0,23.9,18.7,29.1,MONTELIMAR,2000,6
2000-06-29,181,4.8,0.56,1.0164,3.4,0.0,22.2,17.8,26.6,MONTELIMAR,2000,6
2000-06-30,182,3.2,0.55,1.0135,3.44,0.0,23.1,17.2,29.0,MONTELIMAR,2000,6
2000-07-01,183,2.6,0.73,1.0133,2.79,0.08,23.6,18.0,29.3,MONTELIMAR,2000,7
2000-07-02,184,3.0,0.6,1.0121,3.23,0.0,23.8,15.4,32.3,MONTELIMAR,2000,7
2000-07-03,185,2.4,0.69,1.008,1.94,0.96,24.2,18.8,29.7,MONTELIMAR,2000,7
2000-07-04,186,2.5,0.59,1.0114,3.03,0.0,23.1,18.0,28.2,MONTELIMAR,2000,7
2000-07-05,187,3.2,0.57,1.0173,3.48,0.0,21.0,14.2,27.7,MONTELIMAR,2000,7
2000-07-06,188,3.2,0.52,1.016,3.31,0.0,24.2,15.9,32.5,MONTELIMAR,2000,7
2000-07-07,189,3.1,0.52,1.0119,3.24,0.0,25.0,17.9,32.1,MONTELIMAR,2000,7
2000-07-08,190,5.5,0.54,1.0158,2.72,0.0,20.0,17.2,22.8,MONTELIMAR,2000,7
2000-07-09,191,2.1,0.57,1.0131,2.9,0.0,19.4,12.8,26.1,MONTELIMAR,2000,7
2000-07-10,192,1.6,0.89,1.0048,0.64,0.96,17.4,15.7,19.1,MONTELIMAR,2000,7
2000-07-11,193,2.8,0.66,1.0073,2.8,0.0,16.8,12.3,21.3,MONTELIMAR,2000,7
2000-07-12,194,4.2,0.64,1.017,2.03,0.0,16.4,12.2,20.5,MONTELIMAR,2000,7
2000-07-13,195,2.9,0.59,1.0181,2.79,0.0,17.9,12.2,23.6,MONTELIMAR,2000,7
2000-07-14,196,2.6,0.78,1.0131,1.2,0.02,18.2,16.0,20.4,MONTELIMAR,2000,7
2000-07-15,197,4.8,0.66,1.012,2.27,0.0,17.6,14.3,21.0,MONTELIMAR,2000,7
2000-07-16,198,6.0,0.57,1.0149,3.5,0.0,16.8,12.4,21.3,MONTELIMAR,2000,7
2000-07-17,199,5.4,0.54,1.0165,3.42,0.0,18.8,13.2,24.5,MONTELIMAR,2000,7
2000-07-18,200,3.9,0.53,1.017,3.36,0.0,20.0,12.4,27.5,MONTELIMAR,2000,7
2000-07-19,201,5.5,0.51,1.0164,3.16,0.0,21.0,16.1,26.0,MONTELIMAR,2000,7
2000-07-20,202,6.5,0.52,1.0164,3.38,0.0,21.8,16.5,27.0,MONTELIMAR,2000,7
2000-07-21,203,5.4,0.51,1.0171,3.4,0.0,23.4,17.8,29.1,MONTELIMAR,2000,7
2000-07-22,204,2.6,0.58,1.0152,2.95,0.0,22.1,12.8,31.4,MONTELIMAR,2000,7
2000-07-23,205,2.5,0.72,1.0127,1.51,1.38,23.0,15.1,31.0,MONTELIMAR,2000,7
2000-07-24,206,1.2,0.81,1.0092,2.21,0.12,22.7,16.9,28.5,MONTELIMAR,2000,7
2000-07-25,207,1.8,0.84,1.0096,1.47,1.62,18.8,13.9,23.7,MONTELIMAR,2000,7
2000-07-26,208,1.8,0.68,1.0126,2.78,0.0,21.7,13.7,29.7,MONTELIMAR,2000,7
2000-07-27,209,2.1,0.62,1.0153,3.0,0.16,24.6,17.4,31.8,MONTELIMAR,2000,7
2000-07-28,210,5.2,0.65,1.0172,3.16,0.0,23.0,19.0,27.0,MONTELIMAR,2000,7
2000-07-29,211,5.2,0.58,1.0195,3.12,0.0,21.5,16.5,26.5,MONTELIMAR,2000,7
2000-07-30,212,6.2,0.56,1.0211,3.26,0.0,21.2,16.0,26.5,MONTELIMAR,2000,7
2000-07-31,213,3.4,0.56,1.0213,3.25,0.0,24.2,17.5,31.0,MONTELIMAR,2000,7
2000-08-01,214,2.5,0.63,1.0213,2.91,0.0,22.8,12.9,32.7,MONTELIMAR,2000,8
2000-08-02,215,3.2,0.75,1.0202,2.16,1.3,24.2,18.5,30.0,MONTELIMAR,2000,8
2000-08-03,216,2.8,0.83,1.02,0.7,0.24,18.8,17.6,20.0,MONTELIMAR,2000,8
2000-08-04,217,5.4,0.6,1.0182,3.12,0.0,20.1,15.6,24.6,MONTELIMAR,2000,8
2000-08-05,218,4.5,0.67,1.0188,1.62,0.02,19.9,17.2,22.6,MONTELIMAR,2000,8
2000-08-06,219,6.8,0.59,1.0193,2.94,0.0,21.8,17.0,26.5,MONTELIMAR,2000,8
2000-08-07,220,6.6,0.58,1.0196,2.97,0.0,22.2,17.5,27.0,MONTELIMAR,2000,8
2000-08-08,221,5.4,0.6,1.0189,2.66,0.0,23.4,18.4,28.5,MONTELIMAR,2000,8
2000-08-09,222,4.2,0.57,1.0185,2.91,0.0,25.4,20.1,30.6,MONTELIMAR,2000,8
2000-08-10,223,1.9,0.58,1.0176,2.9,0.0,25.0,16.0,34.1,MONTELIMAR,2000,8
2000-08-11,224,1.6,0.66,1.0142,2.89,0.0,24.6,16.0,33.3,MONTELIMAR,2000,8
2000-08-12,225,1.8,0.7,1.014,1.8,0.0,24.5,17.7,31.3,MONTELIMAR,2000,8
2000-08-13,226,1.9,0.6,1.0168,2.61,0.0,26.0,18.7,33.2,MONTELIMAR,2000,8
2000-08-14,227,3.6,0.58,1.0194,2.72,0.0,25.8,17.6,34.0,MONTELIMAR,2000,8
2000-08-15,228,4.8,0.56,1.0192,2.83,0.0,28.0,23.3,32.6,MONTELIMAR,2000,8
2000-08-16,229,2.8,0.56,1.0158,2.85,0.0,27.8,20.1,35.6,MONTELIMAR,2000,8
2000-08-17,230,2.1,0.64,1.0147,2.36,0.0,26.8,19.3,34.4,MONTELIMAR,2000,8
2000-08-18,231,3.1,0.58,1.0143,2.4,0.0,27.1,20.1,34.1,MONTELIMAR,2000,8
2000-08-19,232,2.6,0.54,1.0147,2.65,0.0,25.9,17.0,34.8,MONTELIMAR,2000,8
2000-08-20,233,3.8,0.66,1.0141,2.68,0.0,27.0,20.7,33.4,MONTELIMAR,2000,8
2000-08-21,234,3.9,0.76,1.0152,1.72,1.42,24.3,17.8,30.8,MONTELIMAR,2000,8
2000-08-22,235,4.4,0.73,1.0169,2.7,0.0,20.2,15.6,24.7,MONTELIMAR,2000,8
2000-08-23,236,2.8,0.64,1.0172,2.73,0.0,24.8,16.4,33.2,MONTELIMAR,2000,8
2000-08-24,237,2.0,0.69,1.0197,2.04,0.0,24.6,17.2,32.0,MONTELIMAR,2000,8
2000-08-25,238,2.8,0.71,1.0153,2.09,0.0,26.4,20.2,32.5,MONTELIMAR,2000,8
2000-08-26,239,3.0,0.6,1.0105,1.99,0.04,25.7,17.1,34.3,MONTELIMAR,2000,8
2000-08-27,240,5.1,0.61,1.0177,2.54,0.0,22.6,19.3,25.9,MONTELIMAR,2000,8
2000-08-28,241,4.2,0.54,1.0194,2.33,0.0,21.4,16.2,26.5,MONTELIMAR,2000,8
2000-08-29,242,2.9,0.56,1.018,2.65,0.28,22.4,15.2,29.7,MONTELIMAR,2000,8
2000-08-30,243,1.5,0.86,1.0148,0.66,0.36,19.0,16.6,21.3,MONTELIMAR,2000,8
2000-08-31,244,2.2,0.78,1.011,1.65,0.04,19.8,16.5,23.0,MONTELIMAR,2000,8
2000-09-01,245,2.5,0.62,1.0105,2.47,0.0,21.6,14.5,28.8,MONTELIMAR,2000,9
2000-09-02,246,2.9,0.56,1.0137,1.73,0.0,18.4,12.9,23.9,MONTELIMAR,2000,9
2000-09-03,247,4.8,0.65,1.0152,2.24,0.0,18.7,14.7,22.7,MONTELIMAR,2000,9
2000-09-04,248,7.9,0.56,1.018,2.58,0.0,18.6,14.8,22.3,MONTELIMAR,2000,9
