date,days,cloud_cover,wind_speed,wind_gust,humidity,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max,city
2000-02-22,53,7,4.0,9.2,0.9,0.32,0.31,0.1,-0.8,-5.7,0.7,DRESDEN
2000-02-23,54,7,2.1,5.0,0.92,0.55,0.0,0.3,1.2,-0.1,4.1,DRESDEN
2000-02-24,55,8,5.6,13.5,0.9,0.43,0.96,0.5,4.0,-1.2,6.4,DRESDEN
2000-02-25,56,5,4.6,10.8,0.94,0.2,0.76,0.0,1.2,0.1,5.9,DRESDEN
2000-02-26,57,7,4.3,9.0,0.83,0.48,0.0,0.1,3.2,1.2,5.4,DRESDEN
2000-02-27,58,2,5.0,11.5,0.65,1.41,0.0,9.7,5.2,-1.0,9.5,DRESDEN
2000-02-28,59,7,7.8,13.5,0.52,1.14,0.24,7.0,10.1,4.2,13.0,DRESDEN
2000-02-29,60,7,5.2,14.6,0.76,0.69,0.07,1.6,7.0,4.2,12.1,DRESDEN
2000-03-01,61,7,5.9,16.3,0.78,0.59,0.18,1.4,5.7,3.8,8.7,DRESDEN
2000-03-02,62,7,6.5,15.2,0.8,0.9,0.44,3.0,2.2,1.8,5.6,DRESDEN
2000-03-03,63,8,9.7,26.2,0.77,0.28,0.09,0.1,5.2,1.2,9.0,DRESDEN
2000-03-04,64,7,7.1,17.1,0.82,0.59,0.07,0.9,0.6,-0.8,4.0,DRESDEN
2000-03-05,65,6,7.6,16.1,0.87,0.8,0.02,1.6,-0.4,-2.1,1.1,DRESDEN
2000-03-06,66,7,6.7,14.3,0.67,1.4,0.0,7.0,5.1,-0.4,8.1,DRESDEN
2000-03-07,67,7,9.3,17.9,0.75,0.7,0.26,0.8,7.7,5.0,10.6,DRESDEN
2000-03-08,68,8,10.1,18.2,0.9,0.25,0.84,0.0,9.2,7.3,10.3,DRESDEN
2000-03-09,69,8,10.9,24.3,0.88,0.43,1.41,0.6,8.4,5.9,12.3,DRESDEN
2000-03-10,70,7,4.9,14.8,0.76,0.83,0.53,2.8,2.4,1.1,5.9,DRESDEN
2000-03-11,71,7,8.6,20.8,0.9,0.58,0.32,1.0,6.4,1.8,9.6,DRESDEN
2000-03-12,72,8,3.0,15.0,0.8,0.29,0.04,0.0,2.2,1.3,5.9,DRESDEN
2000-03-13,73,7,3.1,6.6,0.86,0.77,0.15,1.0,4.6,1.7,7.3,DRESDEN
2000-03-14,74,8,6.9,16.1,0.9,0.51,1.11,0.0,5.9,3.6,10.2,DRESDEN
2000-03-15,75,7,7.9,19.6,0.86,0.96,0.84,3.2,0.6,-0.3,4.2,DRESDEN
2000-03-16,76,8,5.2,17.8,0.9,0.65,1.1,1.0,2.1,0.0,4.3,DRESDEN
2000-03-17,77,7,4.3,12.8,0.78,0.7,0.01,1.6,1.9,-0.1,3.8,DRESDEN
2000-03-18,78,4,2.2,5.1,0.73,1.61,0.0,8.1,1.6,-2.2,5.5,DRESDEN
2000-03-19,79,5,3.9,10.7,0.72,0.76,0.0,1.1,2.4,-1.2,6.2,DRESDEN
2000-03-20,80,7,3.6,8.5,0.85,0.83,0.0,0.7,3.6,-1.3,7.4,DRESDEN
2000-03-21,81,6,3.8,7.8,0.95,0.31,0.0,0.0,3.4,2.7,5.0,DRESDEN
2000-03-22,82,1,3.7,7.5,0.77,1.95,0.0,9.8,6.9,0.1,14.9,DRESDEN
2000-03-23,83,3,3.6,7.6,0.78,1.79,0.0,9.9,7.6,2.1,13.0,DRESDEN
2000-03-24,84,8,3.4,6.8,0.92,0.49,0.25,0.0,7.6,3.7,9.0,DRESDEN
2000-03-25,85,6,3.9,10.0,0.82,0.51,0.0,0.2,8.4,7.5,11.1,DRESDEN
2000-03-26,86,6,3.7,9.7,0.83,1.11,1.95,5.2,7.7,3.9,14.8,DRESDEN
2000-03-27,87,8,3.0,7.2,0.99,0.21,1.14,0.0,3.9,3.4,6.4,DRESDEN
2000-03-28,88,8,2.7,6.2,0.96,0.28,0.07,0.0,2.8,1.8,3.6,DRESDEN
2000-03-29,89,8,4.9,13.0,0.92,0.75,0.07,0.8,6.6,2.6,8.5,DRESDEN
2000-03-30,90,8,6.3,15.0,0.93,0.26,0.29,0.0,4.6,3.8,7.7,DRESDEN
2000-03-31,91,8,4.3,10.0,0.93,0.58,0.13,0.5,5.0,3.8,7.5,DRESDEN
2000-04-01,92,6,2.4,5.3,0.76,0.95,0.0,0.9,6.9,4.4,10.5,DRESDEN
2000-04-02,93,6,2.6,7.6,0.62,1.9,0.0,8.7,8.4,3.6,13.2,DRESDEN
2000-04-03,94,4,5.2,12.8,0.64,2.21,0.0,11.3,10.0,5.3,14.1,DRESDEN
2000-04-04,95,4,4.6,13.7,0.72,1.03,0.03,4.6,10.7,8.9,14.9,DRESDEN
2000-04-05,96,7,5.1,11.1,0.77,0.64,0.0,2.7,4.7,2.0,10.5,DRESDEN
2000-04-06,97,2,5.0,13.5,0.6,2.47,0.0,10.8,3.6,-0.6,8.3,DRESDEN
2000-04-07,98,5,4.5,11.5,0.89,0.95,0.1,3.1,3.8,1.8,6.9,DRESDEN
2000-04-08,99,7,2.5,6.7,0.68,1.31,0.0,1.8,6.1,2.1,9.0,DRESDEN
2000-04-09,100,7,3.0,6.3,0.83,1.27,0.0,2.3,5.4,2.9,8.3,DRESDEN
2000-04-10,101,6,2.9,9.1,0.71,1.53,0.0,2.8,5.4,1.7,10.4,DRESDEN
2000-04-11,102,5,1.6,7.0,0.78,1.84,0.13,7.4,6.9,1.2,12.9,DRESDEN
2000-04-12,103,5,4.7,14.6,0.87,0.91,0.55,0.7,6.4,2.8,11.4,DRESDEN
2000-04-13,104,5,6.4,15.4,0.59,1.52,0.0,3.7,8.4,3.2,12.4,DRESDEN
2000-04-14,105,8,4.1,10.8,0.74,0.78,0.1,0.2,8.0,5.8,10.2,DRESDEN
2000-04-15,106,5,4.5,12.6,0.74,2.22,0.98,10.0,11.6,4.2,20.2,DRESDEN
2000-04-16,107,2,4.9,13.1,0.52,2.67,0.0,11.0,11.7,7.0,16.5,DRESDEN
2000-04-17,108,6,5.5,12.1,0.6,2.36,0.21,9.8,13.8,8.3,21.1,DRESDEN
2000-04-18,109,7,2.5,8.5,0.8,1.71,0.2,4.4,10.9,8.0,15.8,DRESDEN
2000-04-19,110,6,2.5,10.6,0.84,1.82,0.0,6.3,12.6,7.7,18.7,DRESDEN
2000-04-20,111,0,2.0,5.7,0.74,2.51,0.0,11.8,14.5,8.4,18.9,DRESDEN
2000-04-21,112,3,2.3,7.5,0.67,2.09,0.0,9.4,17.4,9.0,23.1,DRESDEN
2000-04-22,113,3,3.7,9.7,0.59,2.54,0.0,11.7,19.3,10.9,25.9,DRESDEN
2000-04-23,114,5,5.2,10.3,0.4,2.62,0.0,11.7,22.0,16.2,27.3,DRESDEN
2000-04-24,115,5,5.4,12.2,0.83,1.46,0.0,5.4,13.2,10.0,21.1,DRESDEN
2000-04-25,116,5,3.1,9.6,0.87,1.23,0.0,3.5,10.1,8.4,13.1,DRESDEN
2000-04-26,117,1,3.3,9.2,0.73,2.85,0.0,13.2,15.2,5.3,21.8,DRESDEN
2000-04-27,118,5,4.7,10.7,0.56,2.46,0.0,9.4,19.0,11.9,24.1,DRESDEN
2000-04-28,119,5,8.1,18.1,0.5,2.23,0.0,8.0,20.2,16.8,24.8,DRESDEN
2000-04-29,120,3,6.3,16.8,0.51,2.28,0.0,7.6,20.0,16.5,25.6,DRESDEN
2000-04-30,121,3,3.7,11.4,0.51,2.53,0.0,11.4,19.6,13.5,26.5,DRESDEN
2000-05-01,122,7,2.1,6.9,0.75,2.11,0.0,5.5,18.1,12.3,23.7,DRESDEN
2000-05-02,123,3,4.8,12.7,0.51,2.92,0.0,13.0,15.8,12.2,22.2,DRESDEN
2000-05-03,124,6,3.9,8.7,0.38,3.0,0.0,13.7,16.0,7.8,22.1,DRESDEN
2000-05-04,125,6,2.6,7.0,0.51,2.88,0.0,13.0,16.6,7.9,22.6,DRESDEN
2000-05-05,126,2,2.6,8.0,0.55,2.16,0.0,9.5,18.1,8.8,23.8,DRESDEN
2000-05-06,127,2,4.0,11.5,0.46,2.72,0.0,12.2,19.4,9.6,25.4,DRESDEN
2000-05-07,128,2,4.5,13.4,0.42,2.9,0.0,13.4,21.0,12.5,26.2,DRESDEN
2000-05-08,129,7,3.2,10.0,0.53,1.72,0.48,5.4,20.4,14.3,25.5,DRESDEN
2000-05-09,130,3,2.0,6.1,0.75,2.02,0.0,4.9,18.0,13.8,23.9,DRESDEN
2000-05-10,131,1,1.8,5.2,0.67,2.97,0.0,13.2,20.2,12.7,25.2,DRESDEN
2000-05-11,132,1,2.6,6.3,0.61,3.01,0.0,13.8,20.1,13.1,26.2,DRESDEN
2000-05-12,133,0,4.9,11.8,0.46,3.26,0.0,14.5,14.4,10.7,19.6,DRESDEN
2000-05-13,134,0,3.7,10.7,0.38,3.39,0.0,15.0,14.6,6.5,19.9,DRESDEN
2000-05-14,135,0,2.6,8.4,0.41,3.35,0.0,15.1,18.4,6.6,24.0,DRESDEN
2000-05-15,136,0,3.3,8.7,0.38,3.32,0.0,14.9,21.6,9.4,27.2,DRESDEN
2000-05-16,137,3,2.9,8.7,0.36,3.25,0.0,13.0,22.3,13.0,29.2,DRESDEN
2000-05-17,138,5,3.8,15.4,0.59,2.25,0.54,8.9,20.0,14.5,28.6,DRESDEN
2000-05-18,139,8,2.4,7.7,0.76,1.0,0.02,0.5,14.4,12.7,17.8,DRESDEN
2000-05-19,140,6,2.9,11.4,0.74,1.46,0.16,4.4,11.0,9.1,15.9,DRESDEN
2000-05-20,141,8,4.7,13.5,0.81,1.44,0.05,1.8,8.8,7.9,13.0,DRESDEN
2000-05-21,142,7,2.7,7.7,0.68,2.08,0.3,4.3,12.9,7.6,15.9,DRESDEN
2000-05-22,143,8,3.8,10.9,0.94,0.54,0.54,0.0,10.4,9.5,13.6,DRESDEN
2000-05-23,144,6,2.6,8.5,0.66,2.62,0.0,8.6,15.2,8.3,18.9,DRESDEN
2000-05-24,145,7,2.9,8.7,0.61,2.23,0.0,4.3,17.6,11.0,21.4,DRESDEN
2000-05-25,146,7,5.4,16.3,0.64,1.89,0.11,3.9,17.6,12.5,25.2,DRESDEN
2000-05-26,147,5,3.0,8.9,0.59,2.69,0.0,9.9,16.8,10.1,21.4,DRESDEN
2000-05-27,148,5,4.9,17.3,0.73,1.33,0.01,2.9,14.4,10.2,22.4,DRESDEN
2000-05-28,149,7,4.5,13.6,0.69,1.89,0.06,5.1,15.4,7.7,20.7,DRESDEN
2000-05-29,150,5,5.7,15.1,0.56,2.43,0.05,8.8,10.9,8.7,16.3,DRESDEN
2000-05-30,151,6,3.5,12.4,0.68,2.52,0.3,7.1,11.6,5.7,16.0,DRESDEN
2000-05-31,152,5,2.6,11.9,0.77,1.75,0.04,4.0,11.0,8.4,16.3,DRESDEN
2000-06-01,153,7,3.9,9.9,0.54,2.62,0.0,8.9,16.4,6.5,21.3,DRESDEN
2000-06-02,154,3,4.4,9.4,0.5,3.3,0.0,15.0,22.0,13.6,27.7,DRESDEN
2000-06-03,155,2,2.6,6.9,0.52,3.37,0.0,14.2,23.8,15.5,28.9,DRESDEN
2000-06-04,156,5,3.0,9.5,0.61,3.18,0.0,12.9,22.8,15.9,28.8,DRESDEN
2000-06-05,157,6,3.1,11.6,0.69,2.12,0.19,7.4,21.8,16.0,29.4,DRESDEN
2000-06-06,158,7,4.8,11.4,0.78,1.19,0.0,0.5,15.6,13.8,19.8,DRESDEN
2000-06-07,159,3,4.7,15.4,0.8,1.88,0.5,4.0,12.2,9.3,16.7,DRESDEN
2000-06-08,160,3,2.2,6.7,0.52,3.5,0.0,14.9,16.4,8.9,21.3,DRESDEN
2000-06-09,161,0,4.5,11.1,0.49,3.54,0.0,15.8,21.3,11.9,27.1,DRESDEN
2000-06-10,162,2,4.9,11.4,0.45,3.42,0.0,14.0,26.0,17.8,30.8,DRESDEN
2000-06-11,163,5,3.1,12.1,0.78,2.78,0.73,9.9,21.1,17.5,29.5,DRESDEN
2000-06-12,164,5,3.4,9.3,0.68,2.62,0.0,8.7,19.1,15.0,23.3,DRESDEN
2000-06-13,165,3,2.4,9.0,0.53,3.37,0.35,14.4,24.6,13.3,30.0,DRESDEN
2000-06-14,166,5,2.2,9.6,0.75,1.95,0.0,4.0,19.9,16.0,24.3,DRESDEN
2000-06-15,167,6,4.0,14.0,0.79,1.15,0.18,1.6,15.2,12.0,20.2,DRESDEN
2000-06-16,168,4,5.5,14.7,0.58,2.23,0.0,5.9,11.8,9.3,16.7,DRESDEN
2000-06-17,169,3,3.3,9.3,0.56,2.81,0.0,8.3,12.7,5.1,17.9,DRESDEN
2000-06-18,170,4,2.9,8.6,0.41,3.13,0.0,12.7,19.2,6.8,24.3,DRESDEN
2000-06-19,171,0,2.8,7.5,0.34,3.58,0.0,15.5,24.6,13.0,30.1,DRESDEN
2000-06-20,172,0,2.9,9.9,0.35,3.43,0.0,15.1,27.6,16.5,33.7,DRESDEN
2000-06-21,173,3,3.2,23.6,0.32,3.41,0.01,12.8,28.8,19.3,35.3,DRESDEN
2000-06-22,174,4,3.7,13.9,0.46,3.06,0.04,11.1,24.8,20.0,32.3,DRESDEN
2000-06-23,175,7,3.4,13.7,0.63,1.44,0.35,3.8,18.2,16.5,22.3,DRESDEN
2000-06-24,176,7,3.9,13.2,0.74,1.72,0.26,3.3,14.8,13.1,20.5,DRESDEN
2000-06-25,177,7,4.5,14.9,0.74,1.61,0.38,1.6,13.4,10.9,17.8,DRESDEN
2000-06-26,178,7,5.5,13.9,0.65,1.55,0.0,1.4,12.2,9.5,15.9,DRESDEN
2000-06-27,179,7,6.1,14.4,0.62,1.36,0.04,0.8,11.8,9.1,14.3,DRESDEN
2000-06-28,180,7,4.0,11.0,0.56,2.06,0.0,3.4,12.4,7.6,16.6,DRESDEN
2000-06-29,181,7,4.3,11.6,0.62,1.35,0.0,1.1,11.6,10.1,14.5,DRESDEN
2000-06-30,182,7,4.2,13.4,0.54,2.35,0.0,5.8,14.4,9.2,18.5,DRESDEN
2000-07-01,183,5,3.8,13.3,0.58,2.33,0.03,7.9,19.1,9.3,23.6,DRESDEN
2000-07-02,184,5,2.8,10.0,0.69,2.57,0.18,7.2,19.6,14.1,25.6,DRESDEN
2000-07-03,185,5,2.3,10.0,0.69,2.48,0.0,8.4,21.7,15.4,26.5,DRESDEN
2000-07-04,186,4,2.7,8.6,0.8,2.08,0.36,5.8,18.9,15.7,25.3,DRESDEN
2000-07-05,187,6,6.5,17.6,0.84,0.71,0.8,1.0,15.7,14.6,19.0,DRESDEN
2000-07-06,188,6,4.5,10.9,0.72,1.94,0.0,5.1,17.0,13.9,22.0,DRESDEN
2000-07-07,189,8,2.4,6.3,0.76,1.34,2.3,1.6,16.4,12.5,19.9,DRESDEN
2000-07-08,190,8,4.3,11.4,0.94,0.54,0.24,0.0,11.3,9.7,15.6,DRESDEN
2000-07-09,191,7,4.1,12.5,0.69,1.77,0.04,2.6,14.8,10.5,18.4,DRESDEN
2000-07-10,192,7,5.4,14.1,0.72,1.43,0.68,2.2,16.8,12.9,21.0,DRESDEN
2000-07-11,193,7,3.6,9.5,0.75,1.18,0.02,1.3,15.4,14.5,20.4,DRESDEN
2000-07-12,194,8,5.5,12.8,0.64,1.14,0.0,0.5,14.0,12.8,16.5,DRESDEN
2000-07-13,195,5,5.1,13.4,0.6,2.16,0.03,5.0,14.5,10.4,19.4,DRESDEN
2000-07-14,196,7,3.5,12.9,0.89,1.18,0.38,1.1,13.2,11.5,18.1,DRESDEN
2000-07-15,197,7,3.2,7.5,0.74,1.33,0.0,1.9,13.1,11.1,17.6,DRESDEN
2000-07-16,198,7,2.8,10.2,0.71,1.88,0.34,4.8,14.8,9.0,18.3,DRESDEN
2000-07-17,199,8,3.2,7.4,0.89,0.76,0.31,0.1,14.0,11.7,15.9,DRESDEN
2000-07-18,200,8,3.8,8.9,0.77,0.82,0.0,0.0,14.0,12.2,16.3,DRESDEN
2000-07-19,201,8,5.1,12.2,0.77,1.25,0.2,1.2,13.2,11.4,15.8,DRESDEN
2000-07-20,202,7,4.8,11.7,0.68,1.16,0.0,0.6,15.3,12.1,19.0,DRESDEN
2000-07-21,203,7,4.4,10.1,0.8,0.7,0.0,0.0,13.3,11.8,15.2,DRESDEN
2000-07-22,204,6,3.3,7.7,0.9,1.01,0.08,0.3,14.2,12.0,17.3,DRESDEN
2000-07-23,205,4,2.1,7.1,0.67,2.86,0.0,10.5,18.6,11.4,23.2,DRESDEN
2000-07-24,206,7,2.6,7.9,0.72,1.46,0.0,3.0,19.2,12.7,23.8,DRESDEN
2000-07-25,207,5,4.2,15.6,0.78,1.9,0.04,4.3,18.6,16.8,25.5,DRESDEN
2000-07-26,208,7,3.7,9.5,0.71,1.79,0.1,4.1,18.8,15.2,23.1,DRESDEN
2000-07-27,209,7,3.8,10.1,0.74,1.93,0.0,4.2,19.3,15.4,23.6,DRESDEN
2000-07-28,210,7,4.5,10.6,0.68,1.73,0.03,3.0,18.5,15.9,22.5,DRESDEN
2000-07-29,211,8,6.0,15.0,0.97,0.49,0.39,0.0,14.0,13.3,17.0,DRESDEN
2000-07-30,212,6,3.9,9.6,0.79,1.58,0.09,2.1,15.7,13.7,20.0,DRESDEN
2000-07-31,213,5,3.1,10.3,0.7,2.22,0.0,6.3,17.7,12.8,22.8,DRESDEN
2000-08-01,214,1,2.4,6.0,0.59,3.04,0.0,13.5,20.8,11.4,26.7,DRESDEN
2000-08-02,215,5,4.8,12.9,0.68,1.75,0.05,6.7,20.3,17.8,28.1,DRESDEN
2000-08-03,216,7,2.4,6.7,0.52,2.25,0.01,7.8,20.5,14.0,24.9,DRESDEN
2000-08-04,217,4,3.0,10.1,0.59,2.51,0.0,9.8,18.9,14.7,24.8,DRESDEN
2000-08-05,218,4,2.1,6.9,0.59,2.79,0.0,12.4,19.5,11.2,25.0,DRESDEN
2000-08-06,219,6,2.6,7.4,0.78,1.57,0.09,4.6,17.6,12.2,24.0,DRESDEN
2000-08-07,220,4,3.4,11.0,0.66,1.66,0.16,5.8,16.4,14.1,20.9,DRESDEN
2000-08-08,221,7,2.4,8.8,0.68,1.79,0.0,3.7,16.6,13.2,21.7,DRESDEN
2000-08-09,222,4,3.5,9.2,0.64,1.96,0.0,5.6,17.0,14.3,22.1,DRESDEN
2000-08-10,223,6,3.2,11.9,0.73,1.43,0.2,5.0,19.5,10.7,26.5,DRESDEN
2000-08-11,224,6,2.7,7.8,0.7,1.79,0.0,3.5,18.8,17.1,23.3,DRESDEN
2000-08-12,225,1,1.9,6.4,0.56,2.39,0.0,9.3,20.3,14.4,25.1,DRESDEN
2000-08-13,226,0,2.6,7.0,0.47,2.84,0.0,13.3,22.6,12.9,29.2,DRESDEN
2000-08-14,227,1,2.7,7.5,0.44,2.73,0.0,13.1,25.4,15.0,31.7,DRESDEN
2000-08-15,228,4,3.2,11.9,0.61,2.21,0.0,8.9,23.3,17.2,31.6,DRESDEN
2000-08-16,229,3,3.1,9.1,0.58,2.43,0.0,9.4,22.9,17.8,27.1,DRESDEN
2000-08-17,230,5,3.6,14.5,0.51,2.06,0.11,8.4,23.6,15.7,32.3,DRESDEN
2000-08-18,231,5,2.3,6.0,0.67,1.67,0.0,7.3,21.4,15.3,25.6,DRESDEN
2000-08-19,232,7,3.6,10.3,0.55,1.8,0.0,4.9,24.8,18.0,30.7,DRESDEN
2000-08-20,233,4,3.0,17.4,0.62,2.4,2.34,9.5,23.6,17.8,29.4,DRESDEN
2000-08-21,234,6,4.7,14.4,0.83,1.92,1.69,6.6,19.0,16.6,24.5,DRESDEN
2000-08-22,235,4,2.2,7.1,0.76,1.84,0.0,6.3,16.0,12.9,19.8,DRESDEN
2000-08-23,236,2,2.6,7.0,0.73,2.3,0.0,11.2,15.8,10.6,21.4,DRESDEN
2000-08-24,237,6,3.4,9.3,0.67,2.37,0.0,10.6,17.3,9.9,22.7,DRESDEN
2000-08-25,238,5,4.3,10.7,0.67,1.39,0.0,2.3,16.0,14.0,19.7,DRESDEN
2000-08-26,239,3,4.4,10.7,0.58,2.71,0.0,13.5,16.2,10.3,21.7,DRESDEN
2000-08-27,240,5,5.6,13.1,0.51,2.69,0.0,12.2,18.8,12.7,23.3,DRESDEN
2000-08-28,241,8,2.4,6.3,0.85,0.64,0.01,0.0,16.0,14.0,18.3,DRESDEN
2000-08-29,242,5,2.5,6.9,0.65,2.14,0.0,9.1,18.4,11.7,23.4,DRESDEN
2000-08-30,243,7,2.3,7.0,0.71,1.97,0.15,6.6,17.4,13.2,22.8,DRESDEN
2000-08-31,244,5,3.5,8.0,0.8,1.58,0.0,4.5,16.5,14.2,20.9,DRESDEN
2000-09-01,245,7,2.1,10.5,0.83,1.7,0.61,4.7,16.6,11.6,23.3,DRESDEN
2000-09-02,246,5,5.8,12.1,0.69,1.62,0.23,5.0,16.1,13.4,19.8,DRESDEN
2000-09-03,247,8,7.3,16.5,0.95,0.58,1.57,0.3,12.7,12.3,15.4,DRESDEN
2000-09-04,248,7,4.5,11.1,0.93,0.53,0.15,0.1,11.1,10.3,13.2,DRESDEN
2000-09-05,249,7,3.2,8.8,0.79,1.15,0.0,3.0,12.0,9.2,15.5,DRESDEN
2000-09-06,250,6,3.3,8.3,0.71,1.39,1.02,4.0,13.8,10.0,17.4,DRESDEN
2000-09-07,251,5,3.0,10.2,0.84,1.3,0.12,3.1,13.8,11.1,16.5,DRESDEN
2000-09-08,252,7,3.3,7.6,0.76,1.46,0.0,2.5,16.6,9.2,20.6,DRESDEN
2000-09-09,253,5,2.6,7.8,0.68,1.88,0.0,8.1,19.6,15.5,24.4,DRESDEN
2000-09-10,254,6,1.8,5.8,0.77,1.62,0.0,5.9,18.8,15.0,22.7,DRESDEN
2000-09-11,255,6,2.6,7.4,0.81,1.63,0.0,6.2,17.8,15.9,22.8,DRESDEN
