date,days,cloud_cover,wind_speed,humidity,pressure,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max,city,year
2000-04-20,111,1,1.7,0.58,1.0118,2.64,0.0,11.3,18.4,10.5,25.4,LJUBLJANA,2000
2000-04-21,112,2,0.9,0.55,1.0159,2.7,0.0,12.2,19.0,10.1,26.7,LJUBLJANA,2000
2000-04-22,113,2,1.6,0.54,1.0159,2.67,0.0,12.8,19.4,10.5,27.5,LJUBLJANA,2000
2000-04-23,114,1,2.0,0.52,1.0127,2.8,0.0,12.6,19.6,10.0,27.8,LJUBLJANA,2000
2000-04-24,115,6,2.4,0.78,1.0095,1.51,1.23,4.2,12.2,10.3,20.1,LJUBLJANA,2000
2000-04-25,116,3,1.3,0.62,1.0132,2.3,0.0,8.9,15.8,9.4,22.5,LJUBLJANA,2000
2000-04-26,117,1,1.8,0.61,1.0151,2.75,0.0,12.8,17.1,9.3,24.7,LJUBLJANA,2000
2000-04-27,118,6,0.6,0.68,1.015,1.93,0.0,7.0,17.7,8.7,23.7,LJUBLJANA,2000
2000-04-28,119,7,1.2,0.78,1.014,1.44,0.01,0.0,17.6,13.8,22.0,LJUBLJANA,2000
2000-04-29,120,8,0.9,0.81,1.0174,1.14,1.4,0.5,15.1,13.0,21.2,LJUBLJANA,2000
2000-04-30,121,6,0.7,0.81,1.0194,1.94,0.06,5.1,16.0,11.0,23.0,LJUBLJANA,2000
2000-05-01,122,6,0.7,0.86,1.0153,1.76,1.23,6.8,15.9,12.5,22.5,LJUBLJANA,2000
2000-05-02,123,6,1.4,0.82,1.0163,2.1,0.32,8.2,15.9,12.3,22.5,LJUBLJANA,2000
2000-05-03,124,2,1.3,0.55,1.0194,3.0,0.0,12.6,15.7,11.5,21.6,LJUBLJANA,2000
2000-05-04,125,3,1.2,0.68,1.0193,2.59,0.02,8.6,16.5,7.9,23.8,LJUBLJANA,2000
2000-05-05,126,6,0.9,0.74,1.0185,1.2,0.0,1.8,15.0,11.4,19.0,LJUBLJANA,2000
2000-05-06,127,4,0.8,0.67,1.0182,2.48,0.0,9.9,17.1,9.3,23.5,LJUBLJANA,2000
2000-05-07,128,6,1.6,0.7,1.0202,2.49,0.31,8.9,18.1,11.7,23.8,LJUBLJANA,2000
2000-05-08,129,6,1.2,0.81,1.0215,0.74,0.36,0.0,15.7,14.3,17.9,LJUBLJANA,2000
2000-05-09,130,3,2.2,0.65,1.0211,2.69,0.0,9.9,19.0,14.1,24.1,LJUBLJANA,2000
2000-05-10,131,1,2.3,0.64,1.0189,3.06,0.0,13.4,19.6,11.5,25.7,LJUBLJANA,2000
2000-05-11,132,2,3.2,0.65,1.0168,3.07,0.0,13.1,20.1,15.0,26.7,LJUBLJANA,2000
2000-05-12,133,2,2.3,0.67,1.0168,2.93,0.0,11.6,20.2,14.2,25.9,LJUBLJANA,2000
2000-05-13,134,6,1.9,0.54,1.0224,1.98,0.0,5.7,17.1,15.9,20.3,LJUBLJANA,2000
2000-05-14,135,0,1.4,0.54,1.0234,3.28,0.0,13.9,17.1,8.5,23.8,LJUBLJANA,2000
2000-05-15,136,0,1.4,0.53,1.0232,3.22,0.0,13.8,18.6,8.8,25.7,LJUBLJANA,2000
2000-05-16,137,3,0.9,0.55,1.0188,3.04,0.0,12.3,20.8,10.3,27.7,LJUBLJANA,2000
2000-05-17,138,2,2.4,0.49,1.0146,3.19,0.0,13.3,21.4,12.3,28.5,LJUBLJANA,2000
2000-05-18,139,4,2.2,0.55,1.0096,2.5,0.02,9.9,19.5,12.0,26.1,LJUBLJANA,2000
2000-05-19,140,6,1.2,0.86,1.0116,0.86,1.78,2.8,12.1,10.5,18.8,LJUBLJANA,2000
2000-05-20,141,8,1.0,0.88,1.013,0.46,0.38,0.2,9.0,7.7,12.5,LJUBLJANA,2000
2000-05-21,142,5,1.0,0.61,1.0134,2.94,0.55,8.9,13.8,5.5,20.3,LJUBLJANA,2000
2000-05-22,143,5,1.3,0.82,1.0147,1.64,2.17,5.7,12.0,9.7,16.1,LJUBLJANA,2000
2000-05-23,144,3,1.6,0.58,1.0204,3.07,0.0,12.0,16.0,9.4,22.0,LJUBLJANA,2000
2000-05-24,145,2,0.7,0.58,1.0181,3.25,0.0,13.9,18.1,8.3,25.2,LJUBLJANA,2000
2000-05-25,146,2,1.4,0.57,1.0168,3.17,0.0,13.6,20.2,11.3,27.5,LJUBLJANA,2000
2000-05-26,147,2,1.0,0.61,1.0178,2.72,0.0,11.6,20.3,12.7,27.1,LJUBLJANA,2000
2000-05-27,148,4,2.0,0.55,1.0146,2.93,0.0,12.3,20.9,12.2,26.9,LJUBLJANA,2000
2000-05-28,149,6,1.5,0.64,1.0127,2.11,0.0,6.3,19.8,14.3,25.3,LJUBLJANA,2000
2000-05-29,150,7,2.0,0.9,1.0146,0.7,2.14,1.3,12.7,10.7,19.0,LJUBLJANA,2000
2000-05-30,151,6,1.4,0.59,1.0196,2.89,0.0,9.8,14.1,9.2,18.8,LJUBLJANA,2000
2000-05-31,152,5,1.0,0.78,1.0164,1.58,1.73,4.1,15.1,9.2,21.6,LJUBLJANA,2000
2000-06-01,153,2,1.1,0.6,1.0256,2.93,0.0,12.5,16.3,10.9,21.2,LJUBLJANA,2000
2000-06-02,154,2,1.1,0.55,1.0242,3.36,0.0,14.5,19.2,9.9,25.2,LJUBLJANA,2000
2000-06-03,155,2,0.9,0.56,1.0207,3.32,0.0,13.6,22.5,14.9,28.6,LJUBLJANA,2000
2000-06-04,156,3,1.6,0.57,1.0185,3.14,0.0,13.2,23.0,14.0,29.8,LJUBLJANA,2000
2000-06-05,157,2,2.3,0.52,1.0164,3.24,0.0,13.7,23.9,15.7,29.8,LJUBLJANA,2000
2000-06-06,158,2,2.0,0.55,1.0122,3.11,0.02,13.1,24.0,16.3,30.3,LJUBLJANA,2000
2000-06-07,159,6,1.5,0.78,1.0204,0.7,1.34,0.0,16.2,14.9,23.7,LJUBLJANA,2000
2000-06-08,160,4,1.2,0.64,1.0233,3.2,0.0,12.2,17.7,10.0,23.9,LJUBLJANA,2000
2000-06-09,161,2,0.8,0.57,1.0186,3.31,0.0,14.6,22.6,12.3,29.6,LJUBLJANA,2000
2000-06-10,162,2,1.1,0.57,1.0164,2.79,0.0,11.0,23.8,15.3,30.2,LJUBLJANA,2000
2000-06-11,163,4,1.1,0.59,1.0164,2.83,0.0,11.5,23.9,16.2,30.0,LJUBLJANA,2000
2000-06-12,164,6,1.9,0.6,1.0225,2.73,2.87,9.2,24.7,17.3,32.0,LJUBLJANA,2000
2000-06-13,165,4,1.0,0.79,1.0239,1.85,0.01,6.2,21.8,16.9,28.5,LJUBLJANA,2000
2000-06-14,166,2,2.4,0.63,1.0195,2.74,0.0,10.9,23.4,17.9,30.2,LJUBLJANA,2000
2000-06-15,167,6,1.9,0.74,1.0178,2.16,0.19,6.0,20.4,16.2,28.5,LJUBLJANA,2000
2000-06-16,168,3,1.5,0.61,1.0199,2.26,0.0,9.9,20.1,16.4,24.0,LJUBLJANA,2000
2000-06-17,169,2,1.7,0.41,1.0265,3.52,0.0,14.8,17.4,12.1,21.9,LJUBLJANA,2000
2000-06-18,170,1,1.0,0.49,1.0284,3.53,0.0,15.0,18.2,8.7,24.8,LJUBLJANA,2000
2000-06-19,171,1,0.9,0.47,1.0238,3.42,0.0,14.7,22.2,11.4,29.5,LJUBLJANA,2000
2000-06-20,172,1,1.6,0.51,1.0194,3.3,0.0,14.4,24.2,14.3,32.0,LJUBLJANA,2000
2000-06-21,173,1,2.3,0.47,1.0162,3.17,0.0,11.2,25.0,15.7,31.9,LJUBLJANA,2000
2000-06-22,174,1,2.1,0.47,1.0172,3.41,0.0,14.4,25.6,16.9,32.4,LJUBLJANA,2000
2000-06-23,175,2,1.9,0.48,1.0152,3.43,0.67,14.7,24.7,15.9,31.1,LJUBLJANA,2000
2000-06-24,176,5,1.0,0.71,1.0148,1.82,2.06,4.2,19.2,14.8,24.2,LJUBLJANA,2000
2000-06-25,177,6,1.6,0.85,1.0167,1.0,0.89,3.9,12.9,10.2,19.9,LJUBLJANA,2000
2000-06-26,178,5,1.0,0.62,1.0182,2.71,0.0,9.3,16.9,9.8,23.1,LJUBLJANA,2000
2000-06-27,179,4,1.0,0.56,1.019,2.99,0.0,11.6,19.4,12.6,25.2,LJUBLJANA,2000
2000-06-28,180,7,1.3,0.74,1.015,1.72,0.25,3.0,18.3,14.3,24.1,LJUBLJANA,2000
2000-06-29,181,6,1.3,0.63,1.0159,2.41,0.33,7.9,19.3,14.6,24.2,LJUBLJANA,2000
2000-06-30,182,6,1.3,0.7,1.0159,2.18,0.22,6.7,19.2,14.2,23.3,LJUBLJANA,2000
2000-07-01,183,4,1.7,0.65,1.0145,2.89,0.0,11.5,22.1,14.3,28.2,LJUBLJANA,2000
2000-07-02,184,2,2.2,0.58,1.0163,3.2,0.0,13.4,24.3,16.9,30.0,LJUBLJANA,2000
2000-07-03,185,2,2.3,0.5,1.013,3.17,0.0,13.5,26.3,20.9,32.5,LJUBLJANA,2000
2000-07-04,186,5,1.8,0.52,1.0089,2.4,0.0,11.0,25.6,18.1,30.3,LJUBLJANA,2000
2000-07-05,187,3,1.1,0.54,1.0132,2.96,0.0,12.7,24.1,18.7,30.1,LJUBLJANA,2000
2000-07-06,188,2,1.1,0.54,1.0183,3.15,0.0,12.7,24.6,17.2,30.6,LJUBLJANA,2000
2000-07-07,189,2,1.1,0.53,1.011,3.15,0.0,14.0,25.8,17.2,33.2,LJUBLJANA,2000
2000-07-08,190,7,1.9,0.79,1.0077,0.69,5.94,0.6,18.2,16.1,25.9,LJUBLJANA,2000
2000-07-09,191,5,1.3,0.66,1.011,2.72,0.01,8.8,16.9,11.1,22.0,LJUBLJANA,2000
2000-07-10,192,4,1.8,0.63,1.0054,2.46,2.27,13.5,20.1,11.6,24.9,LJUBLJANA,2000
2000-07-11,193,6,1.1,0.82,1.0017,1.52,1.04,5.7,16.7,15.3,24.3,LJUBLJANA,2000
2000-07-12,194,6,1.3,0.6,1.0098,2.59,0.0,7.4,18.0,12.0,22.1,LJUBLJANA,2000
2000-07-13,195,5,1.1,0.62,1.0153,2.37,0.0,7.7,15.8,14.3,20.7,LJUBLJANA,2000
2000-07-14,196,8,0.7,0.79,1.0091,1.56,1.9,3.7,15.2,9.6,22.0,LJUBLJANA,2000
2000-07-15,197,5,1.0,0.79,1.0062,1.98,2.07,5.9,13.8,11.7,21.9,LJUBLJANA,2000
2000-07-16,198,6,0.8,0.73,1.0113,1.8,0.23,3.2,14.3,11.0,21.5,LJUBLJANA,2000
2000-07-17,199,5,1.7,0.63,1.0172,3.12,0.01,11.9,16.8,8.6,23.5,LJUBLJANA,2000
2000-07-18,200,4,1.0,0.6,1.0171,2.71,0.0,9.7,17.7,12.6,22.0,LJUBLJANA,2000
2000-07-19,201,6,1.2,0.71,1.0161,2.36,0.23,8.6,17.7,12.0,24.8,LJUBLJANA,2000
2000-07-20,202,4,1.1,0.63,1.0181,2.99,0.0,11.5,18.3,11.7,24.0,LJUBLJANA,2000
2000-07-21,203,4,1.0,0.66,1.0191,2.76,0.0,9.4,18.4,14.0,24.2,LJUBLJANA,2000
2000-07-22,204,2,1.7,0.55,1.0168,3.05,0.0,11.5,20.4,14.2,26.5,LJUBLJANA,2000
2000-07-23,205,4,2.6,0.57,1.0156,2.46,0.0,9.4,21.7,12.8,27.4,LJUBLJANA,2000
2000-07-24,206,6,1.6,0.63,1.0126,1.91,0.0,6.9,21.0,19.2,25.7,LJUBLJANA,2000
2000-07-25,207,3,1.9,0.63,1.0103,2.76,0.0,13.3,22.9,16.4,28.0,LJUBLJANA,2000
2000-07-26,208,2,1.8,0.59,1.0102,2.91,0.0,12.9,23.1,17.1,28.6,LJUBLJANA,2000
2000-07-27,209,2,1.2,0.62,1.0166,3.07,0.0,12.4,22.2,15.5,29.0,LJUBLJANA,2000
2000-07-28,210,5,1.3,0.73,1.0118,1.84,1.45,6.9,18.3,14.4,27.2,LJUBLJANA,2000
2000-07-29,211,6,0.9,0.64,1.0149,2.69,0.41,9.2,19.1,12.5,26.2,LJUBLJANA,2000
2000-07-30,212,4,0.9,0.78,1.0202,2.33,0.02,8.5,17.7,14.5,23.7,LJUBLJANA,2000
2000-07-31,213,4,1.3,0.65,1.0242,2.97,0.0,11.4,19.2,12.2,25.7,LJUBLJANA,2000
2000-08-01,214,1,2.0,0.63,1.0228,3.06,0.0,13.8,21.6,12.4,28.4,LJUBLJANA,2000
2000-08-02,215,1,2.0,0.61,1.0196,3.03,0.0,13.6,22.9,14.7,30.1,LJUBLJANA,2000
2000-08-03,216,4,2.1,0.6,1.0185,2.16,0.0,8.1,23.2,17.4,28.8,LJUBLJANA,2000
2000-08-04,217,6,1.1,0.8,1.019,0.91,0.32,1.0,19.1,16.5,24.0,LJUBLJANA,2000
2000-08-05,218,8,0.3,0.94,1.0182,0.28,2.97,0.0,17.2,16.3,18.7,LJUBLJANA,2000
2000-08-06,219,5,0.7,0.77,1.0159,1.75,0.02,4.3,18.7,15.5,24.2,LJUBLJANA,2000
2000-08-07,220,4,0.7,0.71,1.0179,2.42,0.0,9.5,19.6,15.3,25.8,LJUBLJANA,2000
2000-08-08,221,2,1.1,0.64,1.0199,2.62,0.0,11.1,20.1,14.0,26.1,LJUBLJANA,2000
2000-08-09,222,5,1.4,0.69,1.021,2.65,0.0,9.9,19.9,14.0,27.3,LJUBLJANA,2000
2000-08-10,223,2,1.0,0.64,1.0187,2.76,0.0,12.9,21.9,16.1,28.0,LJUBLJANA,2000
2000-08-11,224,2,0.6,0.63,1.0154,2.74,0.0,12.2,23.4,15.6,30.4,LJUBLJANA,2000
2000-08-12,225,2,0.9,0.65,1.0144,2.83,0.0,12.4,22.8,16.0,32.0,LJUBLJANA,2000
2000-08-13,226,5,1.0,0.7,1.0175,2.37,0.03,9.3,22.8,15.9,29.0,LJUBLJANA,2000
2000-08-14,227,2,1.0,0.61,1.0195,2.41,0.0,11.0,23.3,16.8,30.8,LJUBLJANA,2000
2000-08-15,228,2,1.3,0.61,1.0195,2.55,0.0,12.7,23.8,16.8,30.8,LJUBLJANA,2000
2000-08-16,229,1,0.7,0.61,1.0174,2.67,0.0,13.2,24.0,16.2,31.6,LJUBLJANA,2000
2000-08-17,230,1,0.9,0.56,1.0162,2.62,0.0,12.9,25.1,17.1,33.5,LJUBLJANA,2000
