date,days,cloud_cover,wind_speed,wind_gust,humidity,pressure,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max,city
2000-03-05,65,5,3.7,8.9,0.85,1.0314,0.38,0.03,0.1,2.6,-1.2,5.4,DUSSELDORF
2000-03-06,66,7,6.2,12.2,0.65,1.0283,0.66,0.0,1.6,7.0,1.6,9.5,DUSSELDORF
2000-03-07,67,8,7.0,14.2,0.83,1.0228,0.47,0.32,0.4,8.4,6.8,11.7,DUSSELDORF
2000-03-08,68,8,7.8,14.9,0.9,1.0195,0.36,0.9,0.0,11.0,7.9,12.2,DUSSELDORF
2000-03-09,69,8,7.7,18.9,0.84,1.0203,0.36,0.24,0.0,10.3,9.0,12.7,DUSSELDORF
2000-03-10,70,6,3.9,10.9,0.79,1.0253,0.77,0.2,2.1,8.0,4.2,9.4,DUSSELDORF
2000-03-11,71,7,6.3,13.5,0.79,1.0177,0.42,0.02,0.1,8.7,7.8,10.7,DUSSELDORF
2000-03-12,72,7,2.6,6.5,0.77,1.0259,0.5,0.0,0.4,7.4,6.2,9.1,DUSSELDORF
2000-03-13,73,8,3.7,8.4,0.78,1.025,0.65,0.04,1.1,9.0,5.4,12.6,DUSSELDORF
2000-03-14,74,7,5.5,16.1,0.82,1.0197,0.39,0.33,0.0,8.3,6.0,11.0,DUSSELDORF
2000-03-15,75,7,5.9,13.6,0.72,1.0282,0.96,0.06,3.1,5.0,1.8,8.0,DUSSELDORF
2000-03-16,76,8,5.4,10.7,0.88,1.0285,0.4,0.06,0.0,8.2,5.3,9.4,DUSSELDORF
2000-03-17,77,8,5.4,12.4,0.83,1.0281,0.41,0.09,0.0,8.1,6.4,10.3,DUSSELDORF
2000-03-18,78,7,4.7,11.4,0.86,1.028,0.41,0.16,0.0,6.0,5.0,8.1,DUSSELDORF
2000-03-19,79,7,1.9,7.4,0.85,1.0327,0.86,0.0,2.1,3.9,-0.9,8.8,DUSSELDORF
2000-03-20,80,4,1.1,3.6,0.84,1.0295,1.14,0.0,4.0,3.8,-1.5,9.9,DUSSELDORF
2000-03-21,81,3,1.4,5.1,0.79,1.0231,1.8,0.0,9.8,6.4,-0.2,13.9,DUSSELDORF
2000-03-22,82,1,1.9,6.4,0.64,1.0169,1.88,0.0,10.4,9.0,-0.6,17.3,DUSSELDORF
2000-03-23,83,5,1.7,5.5,0.64,1.0139,1.57,0.0,7.3,11.0,1.9,16.9,DUSSELDORF
2000-03-24,84,8,3.9,9.8,0.81,1.009,0.63,0.55,0.6,10.2,9.4,14.7,DUSSELDORF
2000-03-25,85,7,4.7,11.1,0.74,1.0125,0.9,0.45,2.0,10.0,8.2,14.3,DUSSELDORF
2000-03-26,86,5,3.4,15.1,0.79,1.0095,1.39,0.16,5.4,6.8,5.2,11.4,DUSSELDORF
2000-03-27,87,6,2.8,11.2,0.82,1.0091,0.92,0.01,2.0,7.1,4.1,10.7,DUSSELDORF
2000-03-28,88,8,3.7,8.6,0.86,1.0155,0.47,0.22,0.0,3.6,3.0,6.9,DUSSELDORF
2000-03-29,89,8,5.2,13.0,0.87,1.0132,0.47,0.0,0.0,6.3,3.2,6.8,DUSSELDORF
2000-03-30,90,8,4.2,11.7,0.86,1.009,0.48,0.08,0.0,6.8,6.1,8.5,DUSSELDORF
2000-03-31,91,8,2.3,4.8,0.88,1.007,0.49,0.0,0.0,6.1,4.9,8.1,DUSSELDORF
2000-04-01,92,6,3.0,12.6,0.8,1.0046,0.84,0.28,1.3,5.6,2.1,10.9,DUSSELDORF
2000-04-02,93,6,4.2,9.5,0.67,1.0026,1.59,0.0,6.2,10.1,3.3,14.7,DUSSELDORF
2000-04-03,94,6,4.5,11.1,0.65,0.992,1.18,0.12,3.2,11.2,8.5,17.0,DUSSELDORF
2000-04-04,95,4,3.7,10.2,0.72,0.9918,1.74,0.29,7.2,10.4,8.2,17.0,DUSSELDORF
2000-04-05,96,7,5.5,11.3,0.66,1.0092,0.74,0.0,0.7,5.2,4.2,8.7,DUSSELDORF
2000-04-06,97,0,3.2,10.2,0.66,1.028,2.38,0.0,12.5,4.6,-3.3,11.0,DUSSELDORF
2000-04-07,98,2,2.4,8.8,0.68,1.0322,2.38,0.0,12.4,6.4,-0.8,13.4,DUSSELDORF
2000-04-08,99,5,1.7,6.6,0.58,1.024,1.94,0.0,8.4,8.8,-0.9,14.1,DUSSELDORF
2000-04-09,100,4,4.7,11.1,0.59,1.0136,1.93,0.0,8.2,9.9,6.7,15.4,DUSSELDORF
2000-04-10,101,0,4.3,10.6,0.6,1.0109,2.44,0.0,12.4,6.4,1.2,13.0,DUSSELDORF
2000-04-11,102,6,2.6,10.1,0.62,0.9967,1.84,0.33,7.2,9.4,0.3,14.3,DUSSELDORF
2000-04-12,103,6,6.5,17.1,0.66,0.9906,1.53,0.07,4.9,6.9,5.1,11.1,DUSSELDORF
2000-04-13,104,7,7.2,20.9,0.72,0.9945,0.89,0.44,1.1,6.8,4.3,11.6,DUSSELDORF
2000-04-14,105,6,4.4,9.8,0.7,0.9998,1.75,0.47,6.3,9.5,3.9,13.1,DUSSELDORF
2000-04-15,106,7,5.8,14.5,0.66,0.9966,1.15,0.16,2.3,10.2,6.3,14.6,DUSSELDORF
2000-04-16,107,5,5.5,13.7,0.62,0.9998,1.94,0.07,7.5,11.6,5.7,15.7,DUSSELDORF
2000-04-17,108,6,7.1,16.9,0.65,1.0005,1.48,0.06,4.2,11.8,9.7,15.7,DUSSELDORF
2000-04-18,109,7,4.5,11.1,0.61,1.0086,1.43,0.0,3.8,11.9,7.8,15.5,DUSSELDORF
2000-04-19,110,5,3.3,8.5,0.62,1.0104,1.74,0.0,5.8,12.6,8.4,18.8,DUSSELDORF
2000-04-20,111,3,4.0,10.4,0.49,1.0141,2.46,0.0,11.2,14.6,8.0,20.6,DUSSELDORF
2000-04-21,112,6,4.1,11.1,0.56,1.0146,2.33,0.0,10.0,14.9,11.2,20.5,DUSSELDORF
2000-04-22,113,7,2.8,10.2,0.7,1.0114,1.04,0.83,1.5,15.4,7.6,22.7,DUSSELDORF
2000-04-23,114,7,2.0,9.9,0.91,1.0089,0.94,1.04,1.0,13.6,12.3,17.5,DUSSELDORF
2000-04-24,115,4,2.4,7.6,0.77,1.0131,1.35,0.0,3.0,10.9,9.2,16.0,DUSSELDORF
2000-04-25,116,4,4.5,11.8,0.57,1.0124,2.79,0.0,13.4,15.2,7.3,20.0,DUSSELDORF
2000-04-26,117,3,5.2,14.1,0.61,1.0087,2.52,0.0,11.0,17.5,11.6,24.6,DUSSELDORF
2000-04-27,118,6,2.4,9.7,0.67,1.0095,1.88,0.0,6.2,19.0,11.1,25.7,DUSSELDORF
2000-04-28,119,6,1.5,5.9,0.76,1.0056,1.76,0.3,5.3,17.8,10.4,23.7,DUSSELDORF
2000-04-29,120,8,2.6,6.8,0.92,1.015,0.63,0.08,0.0,13.4,13.0,17.8,DUSSELDORF
2000-04-30,121,8,1.9,5.0,0.87,1.0208,0.64,0.0,0.0,13.6,12.3,17.0,DUSSELDORF
2000-05-01,122,8,3.1,6.9,0.86,1.0209,0.71,0.0,0.1,15.1,10.4,17.7,DUSSELDORF
2000-05-02,123,8,3.8,8.1,0.9,1.0207,0.65,1.14,0.0,13.4,10.9,15.5,DUSSELDORF
2000-05-03,124,8,3.1,6.6,0.94,1.019,0.65,0.0,0.0,13.4,11.5,14.5,DUSSELDORF
2000-05-04,125,4,3.1,7.7,0.75,1.0177,2.28,0.0,8.5,16.4,12.1,24.3,DUSSELDORF
2000-05-05,126,4,2.6,8.9,0.61,1.015,2.72,0.0,11.8,18.5,9.1,25.0,DUSSELDORF
2000-05-06,127,1,2.5,9.3,0.55,1.0132,2.68,0.0,11.4,19.2,10.4,26.2,DUSSELDORF
2000-05-07,128,3,1.8,8.5,0.73,1.0146,2.15,0.0,7.4,18.0,10.6,24.7,DUSSELDORF
2000-05-08,129,5,1.7,11.9,0.67,1.0171,2.33,0.0,8.6,19.6,11.4,27.8,DUSSELDORF
2000-05-09,130,2,1.3,7.3,0.71,1.0176,2.75,0.0,11.7,19.4,11.8,27.6,DUSSELDORF
2000-05-10,131,5,2.2,16.3,0.62,1.0163,2.66,0.63,10.9,20.6,12.0,28.6,DUSSELDORF
2000-05-11,132,4,4.5,9.7,0.55,1.0166,2.76,0.0,11.6,20.1,14.2,26.2,DUSSELDORF
2000-05-12,133,4,3.3,11.6,0.54,1.0186,2.53,0.0,9.8,20.4,13.9,26.2,DUSSELDORF
2000-05-13,134,1,1.8,5.3,0.45,1.0215,3.09,0.0,14.1,18.8,10.5,26.9,DUSSELDORF
2000-05-14,135,0,2.5,10.2,0.48,1.0227,3.15,0.0,14.5,20.5,13.3,28.9,DUSSELDORF
2000-05-15,136,3,2.9,9.3,0.35,1.0193,3.12,0.0,14.2,22.4,13.4,28.3,DUSSELDORF
2000-05-16,137,3,3.7,20.0,0.57,1.0137,2.89,0.9,12.3,20.9,17.3,28.8,DUSSELDORF
2000-05-17,138,7,4.5,13.2,0.68,1.0117,1.66,0.3,3.9,15.6,13.7,19.6,DUSSELDORF
2000-05-18,139,7,4.8,18.2,0.82,1.0085,1.56,1.65,3.3,10.6,8.5,15.4,DUSSELDORF
2000-05-19,140,7,4.6,15.7,0.89,1.0078,1.24,0.8,1.7,9.2,7.4,15.0,DUSSELDORF
2000-05-20,141,5,3.1,9.5,0.78,1.0114,1.73,0.13,4.2,10.5,7.6,17.0,DUSSELDORF
2000-05-21,142,7,3.2,9.4,0.86,1.0081,0.99,0.77,0.7,9.9,4.3,13.6,DUSSELDORF
2000-05-22,143,7,3.4,8.0,0.84,1.0141,0.9,0.06,0.4,11.8,9.0,15.5,DUSSELDORF
2000-05-23,144,7,4.2,10.0,0.67,1.0181,2.05,0.43,6.0,16.0,8.7,19.1,DUSSELDORF
2000-05-24,145,7,3.8,9.4,0.87,1.0141,0.87,0.86,0.3,15.0,13.3,18.4,DUSSELDORF
2000-05-25,146,5,5.5,17.4,0.68,1.0109,1.53,0.23,3.0,14.2,12.7,17.2,DUSSELDORF
2000-05-26,147,6,4.6,11.9,0.51,1.0137,2.14,0.0,6.5,17.0,7.1,20.5,DUSSELDORF
2000-05-27,148,6,7.6,17.3,0.58,1.0103,1.95,0.18,5.3,13.0,11.7,19.1,DUSSELDORF
2000-05-28,149,6,8.2,28.4,0.75,1.0048,1.95,0.48,5.3,10.4,8.1,16.2,DUSSELDORF
2000-05-29,150,4,5.2,14.7,0.72,1.0123,1.97,0.08,5.4,10.4,7.3,15.9,DUSSELDORF
2000-05-30,151,7,2.7,9.7,0.7,1.0145,1.75,0.06,4.1,11.6,5.9,16.1,DUSSELDORF
2000-05-31,152,5,1.8,6.1,0.64,1.0183,2.65,0.0,9.8,13.8,8.9,19.8,DUSSELDORF
2000-06-01,153,5,4.5,10.6,0.68,1.0199,1.83,0.0,4.3,17.8,10.2,23.2,DUSSELDORF
2000-06-02,154,2,2.7,8.4,0.68,1.0184,3.12,0.0,13.3,19.4,10.9,26.8,DUSSELDORF
2000-06-03,155,6,2.1,12.4,0.75,1.0171,2.49,1.58,8.5,20.8,12.3,28.9,DUSSELDORF
2000-06-04,156,6,3.1,9.1,0.8,1.0164,1.86,0.0,4.4,18.7,16.2,23.1,DUSSELDORF
2000-06-05,157,8,3.6,10.0,0.84,1.0158,0.95,2.28,0.4,14.8,11.7,20.7,DUSSELDORF
2000-06-06,158,7,4.1,13.3,0.79,1.0184,1.3,0.15,1.6,13.6,11.4,19.1,DUSSELDORF
2000-06-07,159,4,4.5,12.1,0.73,1.022,2.21,0.0,6.5,13.4,11.2,19.4,DUSSELDORF
2000-06-08,160,1,2.9,9.3,0.56,1.0199,3.39,0.0,15.3,17.4,6.0,23.4,DUSSELDORF
2000-06-09,161,2,5.6,13.3,0.48,1.0118,3.33,0.32,14.8,25.2,13.3,31.0,DUSSELDORF
2000-06-10,162,7,2.5,7.2,0.8,1.0146,1.28,0.0,1.5,19.0,17.4,25.1,DUSSELDORF
2000-06-11,163,7,2.9,8.4,0.62,1.018,2.46,0.0,8.1,18.2,14.2,23.4,DUSSELDORF
2000-06-12,164,4,3.6,8.6,0.65,1.0253,3.26,0.0,14.2,18.4,11.6,23.6,DUSSELDORF
2000-06-13,165,2,3.6,11.7,0.63,1.0245,3.27,0.0,14.2,20.6,15.0,28.0,DUSSELDORF
2000-06-14,166,7,3.4,8.6,0.76,1.0235,1.38,0.02,1.9,19.4,13.7,22.1,DUSSELDORF
2000-06-15,167,6,4.4,10.6,0.77,1.0233,1.67,0.08,3.3,14.7,12.8,20.0,DUSSELDORF
2000-06-16,168,4,2.8,8.3,0.63,1.0283,2.73,0.0,10.0,13.2,6.6,20.0,DUSSELDORF
2000-06-17,169,2,1.6,5.3,0.53,1.0299,3.41,0.0,15.4,15.4,5.3,23.2,DUSSELDORF
2000-06-18,170,2,2.7,8.9,0.41,1.0256,3.34,0.0,14.8,22.2,11.4,31.2,DUSSELDORF
2000-06-19,171,1,3.7,10.5,0.41,1.019,3.4,0.0,15.3,26.3,16.1,33.7,DUSSELDORF
2000-06-20,172,1,4.5,10.5,0.38,1.0138,3.32,0.0,14.6,28.6,20.1,33.8,DUSSELDORF
2000-06-21,173,5,3.6,13.2,0.65,1.0133,2.28,0.98,6.9,22.6,18.7,28.4,DUSSELDORF
2000-06-22,174,6,5.0,13.8,0.55,1.0149,2.28,0.0,6.9,19.1,15.8,22.5,DUSSELDORF
2000-06-23,175,7,5.7,13.9,0.7,1.0164,1.28,0.64,1.5,16.6,14.4,19.9,DUSSELDORF
2000-06-24,176,7,4.9,14.7,0.88,1.0151,1.31,0.26,1.6,12.3,11.4,16.7,DUSSELDORF
2000-06-25,177,7,3.8,13.0,0.81,1.0181,1.36,0.5,1.8,12.8,11.5,15.9,DUSSELDORF
2000-06-26,178,5,4.5,11.0,0.64,1.0231,2.02,0.0,5.3,13.0,10.6,17.9,DUSSELDORF
2000-06-27,179,3,2.5,8.0,0.62,1.0233,2.84,0.0,10.9,13.1,5.3,19.8,DUSSELDORF
2000-06-28,180,4,2.5,7.7,0.64,1.0199,2.32,0.0,7.2,12.8,5.8,19.2,DUSSELDORF
2000-06-29,181,5,3.1,9.8,0.63,1.0195,2.3,0.0,7.1,14.0,5.6,20.4,DUSSELDORF
2000-06-30,182,5,1.5,5.5,0.7,1.0157,1.7,0.0,3.5,15.6,12.1,20.5,DUSSELDORF
2000-07-01,183,6,1.8,7.2,0.85,1.0102,1.5,0.8,2.5,16.8,12.1,22.3,DUSSELDORF
2000-07-02,184,6,2.4,12.0,0.78,1.01,2.47,2.73,8.3,20.3,13.4,27.0,DUSSELDORF
2000-07-03,185,5,2.5,6.6,0.85,1.009,1.41,0.02,2.1,18.7,16.3,21.6,DUSSELDORF
2000-07-04,186,6,2.7,15.9,0.79,1.006,1.69,1.0,3.5,18.1,13.6,24.0,DUSSELDORF
2000-07-05,187,7,4.8,13.4,0.78,1.0122,1.67,0.02,3.4,16.7,14.3,21.7,DUSSELDORF
2000-07-06,188,7,2.4,6.2,0.72,1.0187,1.38,0.0,2.0,17.8,14.6,21.5,DUSSELDORF
2000-07-07,189,8,4.7,10.6,0.77,1.0137,0.73,0.03,0.0,14.8,14.0,17.3,DUSSELDORF
2000-07-08,190,7,3.8,9.5,0.81,1.0152,1.26,0.06,1.5,12.6,9.0,15.8,DUSSELDORF
2000-07-09,191,8,5.4,13.0,0.88,1.0033,0.73,0.61,0.0,13.8,12.0,15.6,DUSSELDORF
2000-07-10,192,6,7.0,17.4,0.71,0.9926,1.48,0.74,2.5,15.1,13.6,19.3,DUSSELDORF
2000-07-11,193,8,5.2,13.0,0.91,0.9984,1.1,0.77,0.9,12.8,12.2,17.6,DUSSELDORF
2000-07-12,194,5,4.9,12.1,0.73,1.0129,2.06,0.01,5.8,13.0,9.4,17.0,DUSSELDORF
2000-07-13,195,7,4.0,9.2,0.86,1.0111,0.72,0.25,0.0,14.4,9.2,17.2,DUSSELDORF
2000-07-14,196,7,4.2,12.0,0.81,1.006,1.49,1.07,2.6,13.5,11.4,18.1,DUSSELDORF
2000-07-15,197,6,3.8,9.7,0.81,1.0093,1.4,0.21,2.2,13.1,10.8,16.7,DUSSELDORF
2000-07-16,198,7,2.9,10.3,0.87,1.0136,1.21,1.69,1.4,14.2,10.9,17.8,DUSSELDORF
2000-07-17,199,8,3.0,8.4,0.79,1.0185,0.79,0.0,0.1,14.3,12.1,16.6,DUSSELDORF
2000-07-18,200,6,3.7,9.5,0.74,1.0189,2.08,0.15,6.1,14.0,12.1,20.3,DUSSELDORF
2000-07-19,201,6,3.5,10.5,0.83,1.0192,1.23,0.04,1.5,15.4,12.4,19.6,DUSSELDORF
2000-07-20,202,4,2.5,9.1,0.67,1.0204,2.45,0.0,8.7,17.7,11.4,23.5,DUSSELDORF
2000-07-21,203,3,4.0,9.6,0.68,1.0225,2.73,0.0,10.9,16.2,12.8,22.7,DUSSELDORF
2000-07-22,204,6,1.7,4.5,0.83,1.0198,1.17,0.0,1.3,14.8,11.1,19.3,DUSSELDORF
2000-07-23,205,5,2.8,8.2,0.79,1.0144,2.75,0.0,11.2,17.9,9.9,23.6,DUSSELDORF
2000-07-24,206,8,3.4,8.7,0.86,1.0048,0.69,1.71,0.0,17.5,14.2,20.4,DUSSELDORF
2000-07-25,207,8,4.9,12.5,0.92,1.004,0.69,0.06,0.0,16.1,15.5,19.3,DUSSELDORF
2000-07-26,208,8,2.2,6.9,0.86,1.0101,0.69,0.0,0.0,15.7,14.2,18.7,DUSSELDORF
2000-07-27,209,5,2.8,11.5,0.79,1.014,1.58,0.55,3.4,17.8,13.8,21.2,DUSSELDORF
2000-07-28,210,6,2.8,11.4,0.86,1.0132,1.4,0.6,2.5,15.6,13.5,20.2,DUSSELDORF
2000-07-29,211,6,2.7,8.8,0.82,1.0158,1.55,0.83,3.3,16.4,12.2,22.3,DUSSELDORF
2000-07-30,212,6,2.7,7.4,0.85,1.0214,1.25,0.0,1.8,16.4,12.5,21.2,DUSSELDORF
2000-07-31,213,4,1.8,6.5,0.79,1.0234,2.18,0.0,7.4,17.9,13.9,24.7,DUSSELDORF
2000-08-01,214,3,3.6,9.5,0.61,1.018,2.67,0.0,11.2,22.4,14.8,28.3,DUSSELDORF
2000-08-02,215,4,4.4,12.4,0.65,1.0158,2.26,0.0,8.1,19.1,16.6,22.9,DUSSELDORF
2000-08-03,216,5,3.4,9.7,0.65,1.0168,1.8,0.04,5.0,17.6,14.7,22.5,DUSSELDORF
2000-08-04,217,5,2.1,7.4,0.7,1.0201,2.03,0.03,6.6,17.9,12.6,23.6,DUSSELDORF
2000-08-05,218,3,2.2,7.7,0.77,1.0231,2.48,0.0,10.0,17.2,11.2,24.8,DUSSELDORF
2000-08-06,219,5,2.7,8.1,0.75,1.0219,1.7,0.02,4.5,19.4,11.4,24.6,DUSSELDORF
2000-08-07,220,6,2.5,8.5,0.74,1.0216,1.67,0.04,4.4,19.2,16.0,24.4,DUSSELDORF
2000-08-08,221,4,2.4,8.1,0.77,1.0199,1.65,0.0,4.3,18.4,16.2,24.2,DUSSELDORF
2000-08-09,222,2,1.3,5.1,0.7,1.0201,2.45,0.0,10.1,20.4,11.4,25.5,DUSSELDORF
2000-08-10,223,7,3.8,8.7,0.76,1.0159,1.16,0.0,1.7,19.6,16.9,23.1,DUSSELDORF
2000-08-11,224,5,2.2,7.6,0.74,1.0153,1.91,0.0,6.2,18.6,16.6,25.3,DUSSELDORF
2000-08-12,225,3,1.7,5.9,0.71,1.0146,2.63,0.0,11.9,19.8,13.3,27.3,DUSSELDORF
2000-08-13,226,0,1.9,5.5,0.61,1.0173,2.68,0.0,12.5,22.6,12.8,29.4,DUSSELDORF
2000-08-14,227,6,3.7,9.9,0.59,1.0179,2.45,0.0,10.6,24.4,17.1,29.5,DUSSELDORF
